;term;0;1;2;3;4
178;allemand;4.2574644774446165e-05;0.0;0.00015944993290795362;0.004166317698878927;0.00021551747232201844
179;aller;0.009311832443793572;0.02185517043114809;0.011296037991001146;0.009219856245355146;0.0010094119891425385
180;allergic;0.0;3.3597734423344357e-07;6.578360415272187e-06;1.0022193055567199e-05;0.0
181;allergie;0.00038339159614393274;0.0030558084907704257;0.0006407144150397065;0.0009824035110572195;0.0005627273255580864
182;allergies;0.0018919675766919805;0.0;0.0;0.0030949022240968614;0.0
183;allergique;0.0007349739213036415;0.001952937019603514;0.0012701345705905035;0.0057181405959061795;0.0006707765679998201
184;allergène;0.0;0.001453693204853498;0.0;0.0;0.0
185;allergènes;0.00012744515721574429;0.00032975286446927974;0.0002515812350660225;0.0002747858145927899;0.0001210317537424451
186;allez;0.0;0.0010133736868831315;0.003915599184806623;0.0040301912642657055;0.00028070699197100933
187;allier;0.0;0.0008601049350096826;0.0;0.0021637838775901887;0.0
188;allonge;0.004952643718800424;0.0033902158082604735;0.0019018381393757645;0.0038324415547589105;0.0004569616495729672
189;allongeant;0.00010029625445433342;0.00048283703046921457;0.0005760355025140761;0.0005088713953320216;0.00018969248843966563
190;allongement;0.0;0.0;0.0;0.005965450894877292;0.0
191;allonger;0.004249560684168222;0.0011668759719318542;0.008022196696989062;0.007170113595851836;0.0013374719417853802
192;allongé;0.0;0.0;0.00018732876668896322;0.016310812048649585;0.0
193;allourdit;0.0;0.00251098480841664;6.609716272261036e-06;0.0003646651267309576;0.0001628913893452546
194;allows;0.0;3.3597734423344357e-07;6.578360415272187e-06;1.0022193055567199e-05;0.0
195;allure;7.740508688197549e-05;0.0005285780276958661;0.0002781588694531001;0.0009918359977531756;6.907286612600305e-05
196;allures;4.034638776254502e-06;0.00010114301216205879;7.197973407811375e-05;7.081740290125669e-05;2.4011919976938008e-05
197;alléger;0.0;0.00032390949025911373;6.871135377945906e-05;0.00017933375900033228;0.0
198;allégique;0.0;0.00012058425677347601;0.0002441798927946545;8.877931742752709e-05;3.2324765729272036e-07
199;allérgies;0.0;0.0009024231397096536;0.0006220763793876039;0.00013407783545776536;0.0
200;alourdi;0.0021418309110392414;0.0;0.0;0.0034384894221362533;0.0
201;alourdir;0.0024784184498214765;0.013902975440226999;0.012823400247893153;0.006924946205168024;0.01127990807190068
202;alourdis;0.0;0.00027809100810104745;0.00017291337838526265;0.00025220206267852067;0.0
203;alourdit;0.00012375658047675164;0.003499046435109047;0.001977216892331544;0.0026876279809469965;0.0
204;aloès;0.003012164593736496;0.000715398493657476;0.0;6.69139366490214e-05;0.0
205;altere;0.00031589301316367054;0.00016728485369052882;0.0004623260100301364;0.00018645947172502917;0.0006436856699408765
206;alternance;9.785193078688955e-05;0.0016304132968174984;0.0006842098033951391;0.0009628552783158548;0.0
207;alternative;0.0;0.0001230792390857325;3.157798375536268e-05;0.00010940998063113627;0.0
208;alterne;0.0;0.001423078028639712;0.0029040749658748944;0.0002709567027269121;5.077015331349214e-05
209;alterner;0.00010747154115848467;0.0010880685949522162;0.005178751558104857;0.0007589223615356539;0.00023687940513244276
210;altérer;0.0;0.0;0.0010883485941227742;0.0;0.0
211;amande;5.3525053444330484e-05;0.0007808531695580131;3.271857518705426e-05;0.00048095279465360137;6.0206566519996685e-05
212;amateur;0.0;0.0020935800307331923;0.0;0.0;0.0
213;amazing;0.0;0.006173311624683033;0.0;0.0;0.0
214;amazon;0.006404493342611273;0.008144615463577509;0.02887741131790173;0.02295726715783652;0.004898483509657158
215;amazone;0.001017693763185334;0.0010882957552991708;0.001860186392906248;0.0011225987427793797;0.0020887928497244886
216;ambiant;0.0;0.0022593173746039063;0.0;0.0;0.0
217;amelioration;0.0025185684950458248;0.0;0.0;0.0;0.0001761861511373698
218;ameliore;0.0013412247537132795;0.002677787362822295;0.0017849898067367844;0.0007342845546952348;0.0
219;amener;3.880996556443187e-05;0.0004082849065623079;0.00022411899969490982;0.0003838516103339298;4.7560917088493165e-05
220;american;1.8080280338339693e-05;0.00010857152927987133;2.2553429896875662e-05;8.448234961244058e-05;8.707466672369476e-06
221;ami;5.678166619180905e-05;0.0;0.01023569170584083;0.0028146125162234682;0.0025408996920252332
222;amie;0.012946098655509794;0.0006855371433313106;6.91834926256322e-05;0.0002484534255671778;0.0
223;amoindrie;0.0;0.0011119912179186106;0.0;0.0003460762716990956;0.0
224;amoureux;0.0;0.0004444751256148115;7.514582504594304e-05;0.0013063095883496425;0.0
225;amplement;0.0047375961235864555;0.0;0.01355932544646987;0.006419274906182111;0.0
226;amplifier;0.0;0.0006035023704058728;0.00013666887389416442;0.0013768578683836109;0.00031376815817211237
227;ampoule;0.0001402489318529567;0.00033044526255145135;0.0002398584766548941;0.00011604633406512163;0.0001555383796775878
228;ampoules;0.0028181574862108246;0.002520086498404905;0.002926515850327892;0.0008570235285274987;0.0008435623508138418
229;amuse;4.425140162386691e-06;7.044748854110637e-05;7.97824821320369e-05;6.630452298801763e-05;0.00012908307647436856
230;amusement;0.0;0.0017492283429285434;0.0;0.0;0.0
231;amuser;6.984783231530771e-05;0.0006002300215160131;2.0966865740428014e-06;3.148003499174052e-05;6.273744436229183e-05
232;amélioration;0.003838376988770176;0.008241223190147386;0.0029284120649628598;0.0016987501383273708;0.0
233;améliore;0.0;0.0032900001339116994;0.0;0.0015492195584796105;0.0
234;améliorer;0.0;0.001160447425010688;0.0;0.002887967996235796;0.0
235;américain;4.631347222666899e-05;0.0001336937565337445;0.00016333170929430549;0.0003422164031427181;6.48885302679859e-05
236;an;0.01325345769967062;0.03911374615312878;0.03311271528623187;0.035472113313388384;0.014852171294698022
237;analyser;1.305092687634741e-05;6.957238805271898e-05;4.936106103330526e-05;5.7417649761026683e-05;1.884022862240935e-05
238;ancien;0.0031683475280322687;0.010159734786369955;0.0075698335448799335;0.0040838585116327476;0.0
239;anciennement;1.8080280338339693e-05;0.00010857152927987133;2.2553429896875662e-05;8.448234961244058e-05;8.707466672369476e-06
240;andorre;0.0;0.0;0.009422007684318058;0.0;0.0
241;anglais;0.00018115291604843038;0.0006537877855056739;0.0018056444545198054;0.0014468731134116496;8.026471579007195e-05
242;anglaise;0.0;0.0;0.0;0.0;4.188925151142271e-41
243;angle;0.0;0.0002313046610367809;0.0025440831111102225;1.0510266882135624e-05;0.0
244;animal;0.0;0.0009326350458210639;1.2808653622061485e-07;0.000304842451567823;0.0
245;annees;0.0;0.0017324620897171124;0.000628425960763865;0.0006916445425189067;0.0
246;annonce;0.0;0.0;7.150496252953356e-05;0.005472951183943591;0.012674035643723412
247;annoncer;0.0038121163803767877;0.0018558169633791405;0.00018409753263398502;0.0;0.0030814041477593367
248;année;0.02234553281039064;0.02110148587072216;0.02595333348448524;0.021555387291556514;0.012646553816964425
249;années;0.012934089412887158;0.016850864029250602;0.03090412039527057;0.023641211750363326;0.015551482849737742
250;ant;9.282176543506185e-05;0.0004745979869757024;0.0007329119508864344;8.677401243449802e-05;8.247764774761495e-05
251;anti;0.002026980864588135;0.018857462008681856;0.006136102922952236;0.005248632368246523;0.0008123388751163482
252;anticernes;0.0;0.0012822894381056382;7.930567350984257e-05;0.0;0.0
253;antimicrobien;0.0;6.276502895598564e-05;4.225457174234758e-05;0.0001521461641204983;0.0
254;antirides;6.152520585553091e-05;7.279413036307507e-05;2.948143326815572e-05;9.375570758696843e-05;0.00014238725771119663
255;antiâge;0.0;0.0006793589888704227;2.821248983877493e-05;0.00029466285386621244;0.0
256;antérieur;0.0;0.00018771732494051696;0.00036499070077005287;0.0003323327213733441;0.00014716678100286016
257;aodre;0.0;4.19629773307495e-05;0.0;0.0;4.0523678618481394e-05
258;ap;1.275793708673561e-05;0.000308757543246333;0.00014764338131450475;4.459021388700409e-05;3.0425527062155277e-05
259;apaisant;0.0;0.0009470458074136893;0.0;0.00011834291435331156;0.0
260;apaise;0.0;0.0005239061198633712;0.0;0.00015842790642317048;0.0
261;apercevoir;3.6305011396990975e-05;0.00015261423895984353;0.00010306407262186787;1.7766032068508574e-05;2.5282484854001327e-06
262;aperçois;0.0;0.00016545521174076436;8.922415881222665e-05;0.00032764604557210226;2.5251247277625265e-05
263;app;0.0;1.9961108959064848e-05;1.520655071318522e-05;7.499126938826016e-07;2.3523947915803387e-06
264;apparaissent;4.034638776254502e-06;0.00010114301216205879;7.197973407811375e-05;7.081740290125669e-05;2.4011919976938008e-05
265;apparant;0.00011247085130352496;0.0002809759979374763;9.365687406752284e-05;7.897270632066762e-05;8.155867819232945e-05
266;apparaît;0.0;0.0004844279593966711;0.0001354083932592791;0.00046999648682092404;0.00011600803259135434
267;apparaître;0.0;0.00043323308777780834;0.0006838130596023299;0.00023368587752169262;0.0
268;appareil;2.1112709157160218e-05;0.00010622745043968148;5.052116129746832e-05;4.1862720987477715e-05;0.0
269;apparement;6.760163272383943e-05;0.0009827010245543348;0.0001652631627211617;0.0002664918198944345;0.0
270;apparemment;0.0;0.0;0.0014702251408382175;0.0;0.0
271;apparent;0.0003513711009581923;0.0009624597850321665;0.0007820325478119663;0.0008436682049767834;0.0012435700195788716
272;apparition;0.00083603905784759;0.0003774063288197945;0.00016181536725024423;0.0003353108412631632;9.586988236031252e-06
273;appel;2.0339731192568254e-05;0.0002004574929190347;0.00014951536568823622;0.0004314497246596756;3.798351259010479e-05
