;documents;0;1;2;3;4
89;J'ai connue cette cire chez un coiffeur qui me l'a vendue plus de 20€...;0.0013128538989310027;0.0031359470186682246;0.006850315590665594;0.008688904270457383;0.0031156298482229064
90;En cherchant sur amazon je suis tombé dessus pour 13 euros, j'adore cette cire-gel, j'ai les cheveux secs donc c'est ce qu'il me faut pour les nourrir.;0.0013835082313586554;0.005752330497201327;0.0034035899973128138;0.0034692371117337776;0.00018627532711203696
91;Très bonne qualité, j'utilise depuis plus d'1 an;0.0;0.005503694724892708;0.11660246189435157;0.013983125170231455;0.0
92;Parfait. Je connais ce produit et je l'adore.;0.015078027099620953;0.01759456969593614;0.009317524818809134;0.1528183444453207;0.0030285496716650436
93;Je le conseille vivement. Cet eyeliner tient toute la journée. C'est le top pour un prix très abordable.;0.006772656905893865;0.006988215511079984;0.07060878663569517;0.003768386965903058;0.0
94;"Je l'utilise seulement depuis deux semaines donc pas forcément assez de recul pour faire un commentaire détaillé. Mais je je peux déjà dire que pour une crème hydratante ""anti-age"" elle est semble bien meilleure que les équivalent nivea que j'ai testé. Elle hydrate très bien sans donner l'aspect collant. Elle permet de masquer de légère rides (donne un aspect lisse à la peau), sent vraiment bon. Bref ca semble un produit vraiment correct. Après oui c'est cher, mais les produit concurrent sont du même ordre de prix/";0.004708888810007851;0.018461828561723948;0.03579478612800859;0.011657328832216688;0.002093907180286349
95;Après plusieurs utilisations, je recommande à 1000 % ce shampoing de là gamme inforcer de l’oreal professionnel , je l utilise avec le masque de là même gamme et Le résultat est bluffant mais cheveux sont plus fort plus doux plus brillant et regraisse beaucoup moins vite, un shampoing de pro à utiliser à la maison !;0.037827240789058435;0.026275482050067925;0.012727533310895761;0.017076808989814146;0.0030499447620998305
96;Ne fonctionne pas sur mon type de cheveux,;0.0002557547651936564;0.002126406347940079;0.0008829719685752023;0.004047090608904837;0.0008336744611949262
97;Renseigner vous auprès de pro de la coiffure avant achat;0.00048619966650992916;0.0005954427689245793;0.004178810085369233;0.002600302974672688;0.005521685567618853
98;Déçu du produit;0.017532305898805372;0.010598411650690084;0.01776091918847608;0.0015922521172193832;0.007418573673017512
99;Ce n'est pas du tout pigmenté et s'efface trop facilement. Il ne me sert à rien, de l'argent gâché !;0.000621017152168464;0.001553932782463818;0.0005692978069441714;0.0011119097465521269;0.0
100;Ce masque est très bien moi qui ai les cheveux frisés et très secs je le trouve même encore mieux que l'ancien Absolut Repair que j'utilisais depuis des années. il pénètre mieux les cheveux et on en met moins. Donc plus économique aussi.;0.0024673559568646098;0.010037566813257584;0.007986068476432172;0.012500881474819417;0.0014663099840923662
101;Fait vraiment sont boulot je l'utilisé une fois par semaine j'ai des mèches blonde elle éclairci vraiment sachant que mon but qu'elle soit blanche je recommande;0.055422215664899514;0.005744971648827654;0.006631956742696934;0.01582190348600043;0.0014063639979651663
102;Le produit prend effet, je pense bien car j'ai moins de cheveux qui tombent, ça peut être aussi psychique à la fois.;0.00157128588940426;0.003399888998491723;0.00280281359694947;0.0032405413795129454;0.0003971982745843133
103;Très bon produit, par contre du fait que c'est en colissimo il a fallu que' j'appelle trois fois  la poste pour avoir trois codes différents sur internet pour mon colis  et au tél,  d''ou un coût un peu plus élevé pour mon produit;0.0006717560190943529;0.002368186272231383;0.0028389091519571822;0.0024883199029077964;0.0013682261126631487
104;J’apprécie ce shampoing, qui prolonge vraiment la durée de la couleur.  Ce packaging rend le prix interressant, mais il n'est vraiment pas facile à utiliser. Le shampoing n'est pas assez fluide pour remplir facilement une autre bouteille plus petite. Pour l'instant je me sers d'une seringue et d'une canule, mais je n'ai pas encore réfléchi à comment faire quand la bouteille est à moitié vide.;0.0017219493049752694;0.011445568905389775;0.039042274413992654;0.012288717223425361;0.0018622740659069855
105;Produit qui fonctionne très bien. Il enlève complètement l’effet jaune... super produit ne regrette rien. Envoi rapide en plus. Rien à redire.;0.0032911347895070837;0.0008307853835887318;0.0038262985304641367;0.007656326413661165;0.007843760743867311
106;oui c'est bien... mais .. y'aurai pas comme un souci la ??? le produit coule vers le bas du coup bas tout fuit c'est quoi se délire???!!! je conseille pas !;0.0006825981996772197;0.001306737406057216;0.0010651935423978836;0.00022105845634279647;0.0009808548457669079
107;Achat conforme;0.0;0.0;0.00063167322184999;0.0;0.21045200435910646
108;Je suis tres étonnée je ne connaissait pas cette BB , blanche comme une creme hydratante et qui se teinte quand on l'etale , elle est juste parfaite, belle teinte , belle coucnvrance légère, ne tire pas ....je suis tres satisfaite;0.0030244322023521833;0.00514282896200039;0.004791881002852794;0.07094009655095004;0.005976134919554956
109;Très bien fait de beaux cils;0.0012322735845305415;0.0005866658735428729;0.002291372938983368;0.007461565964401793;0.00043905385184201984
110;je suis a mon 5 shampoing : donc a essayer sur mèches blondes vous allez voir vos cheveux vont s'eclaircir , laver vos cheveux poser une noisette et attendre 3 minutes et rincer et vos mèches vont passer de blond a blanches trop génial;0.0036201921495273154;0.007624483818330267;0.007681743765237323;0.01213617438674834;0.003185253203520116
111;parfait pour les cheveux blanc ou gris,cela évite de jaunir et rend les cheveux grisonnant vraiment beaux et brillant,c'est parfait;0.0011321750185356804;0.0;0.0008225932080039311;0.09611238857015493;0.0
112;Fais le job, assez pratique quand on a des cheveux fins difficiles à coiffer, ça tient toute la journée sans problème.;0.0033903917969447654;0.0076824938626768435;0.0054421257128396214;0.009874970116174228;0.0017094135555558699
113;un bon produit pour laver les cheveux blancs qui ont tendance à jaunir, il n'y a rien à dire d'autre;0.0009520911365115612;0.0027272879195534942;0.002976325677743389;0.0066425126420864905;0.0005624671912560223
114;Shampooing professionnel que ma femme utilise depuis plusieurs années et que dire de plus à part que c'est parfait.;0.0018815038064155358;0.002619867735594134;0.008103373979873004;0.11718646084739218;0.0
115;J’ai des mèches blondes platines, et un paquet de cheveux blancs, j’en suis très contente . Je recommande vivement;0.07187746597536165;0.0022116761029500782;0.0023991233415995897;0.007421649584727601;0.001895050553578239
116;L’Oréal ne déçoit jamais! Très efficace des les premiers lavages. Je le recommande a toutes les personnes aux cheveux décolorés.;0.06903789423306356;0.010602141107579989;0.006982377643254109;0.0011647537042484446;0.0
