;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
77;adaptent;0.0;0.0005680955631474972;0.0;0.0;0.0;0.0;0.0;0.009663500030309597;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00045834969254604095
78;adapter;0.0;0.00446410537210342;0.0;0.02939576248438897;0.0;0.004672886753949077;0.007596553585033955;0.0;0.0006713046626219607;0.015236202912620359;0.01520084298652408;0.0;0.0031469858009511276;0.012930497316635143;0.005638350209557938;0.005344572393596716;0.0158505572899169
79;adapté;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003164690341878603;0.0;0.0;0.008271776589612777;0.011609123925831102;0.0;0.0020677038667003705
80;adepte;0.006561572407482238;0.0;0.0;0.0049897173328612605;0.0;0.0;0.0;0.0;0.0;0.004836361267661806;0.010355738587577141;0.0;0.003307746255122931;0.009569779313492174;0.00215908406708261;0.001806774546372299;0.002038912783208026
81;adeptes;0.0;0.0;0.0;0.004212543521213863;0.0;0.0;0.0;0.0;0.0020703919366232637;0.0;0.00024148465156125092;0.0;0.0;6.175606029850497e-05;0.0;0.0;7.365497602399434e-05
82;adhère;0.0;0.003190880638620462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3888997261293384e-07;0.004867527476907871;0.0;0.0016513081507028237
83;adhérer;0.0;0.0;0.0;6.495697343053096e-05;0.0;5.0289694646390647e-05;0.0;0.0;0.0;0.0;0.00014709112055635203;0.0002519224705307773;0.0;0.00017830271610192033;0.0016262485565928673;1.2867171030445105e-06;0.0
84;adhésion;0.0;0.0;0.0;0.00416732197574334;0.0;0.0;0.0;0.0;0.0;0.0;0.000368052886390175;3.176100599641785e-05;0.0;0.00021324124556047134;0.0006039690958269055;0.0001253635720236366;0.0019097500381253067
85;adict;0.0;0.00011971657255570747;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002574464899672267;0.0;3.978006247427711e-05;9.690470972644266e-05;0.000582366857455125;0.00020031970622237086;0.00041237791099948745
86;adieu;0.0017517788019156097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00010051737206272846;0.00019518697349843285;0.0010006421379548738;5.271943772961752e-05;9.506504416644959e-05;0.00033442917888495423;0.0;0.0;0.001203545424259913
87;adixion;0.0;0.0;0.0;0.0;0.0;0.0;0.00011545813958666691;0.0;0.00032272237229738384;0.0;0.0;3.172195950099544e-05;0.00020189416664587818;0.0006057859089658806;0.0;0.0003976098133587262;0.0013870537452938469
88;admettre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001870329062990806;2.4333792413287743e-05;0.0;0.0;0.0005526659306333011;0.00021894103137444474;0.00017375391834629063
89;ado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.73709450885886e-06;0.0;0.0;0.0;1.1303819681497063e-06;2.4785297189002735e-07;2.861240968542362e-06
