,avg_mark,brand,price,product_id,product_name,product_type,retailer_id,,,
67,4.1,LOrealParis,5.7,B00N1ROXAC,"L'Oréal Paris Pure Liss Après-shampoing Cheveux frisés, Indomptables 250 ml","Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Après-shampooings",amazon_fr,,,
68,4.4,LOrealParis,19.7,B000UUQAY0,L'Oréal Professionnel Silver &Eacute,clat Shampooing Protecteur Système 500 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,
69,3.8,LOrealParis,23.8,B003U402AG,L'Oréal Paris Progress Homme Gel de Repigmentation Naturelle Coloration Cheveux Blancs,"Beauté et Parfum, Coiffure et soins des cheveux, Colorations, Coloration permanente",amazon_fr,,,
70,4.4,LOrealParis,17.35,B013PGG6IU,L'Oréal Professionnel Mythic Oil Huile Nutritive 100 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Huiles pour cheveux",amazon_fr,,,
71,3.6,LOrealParis,4.89,B00CWZP5BK,L'Oréal Ombre à Paupières E6 Eau de Rose,"Vêtements, Fantaisie et Specialty, Fantaisie, Hauts, T-shirts",amazon_fr,,,
72,3.7,LOrealParis,13.9,B07HQYCP9Y,L'Oréal Paris Unbelievabrow Gel à Sourcils Longue Tenue 104 Châtain,"Beauté et Parfum, Maquillage, Yeux, Crayons et maquillage pour sourcils",amazon_fr,,,
73,5,LOrealParis,28.9,B00PXRWFO4,"L'Oréal Professionnel Homme Clay, pâte pour forte Fixation Lot de 3&nbsp;(3&nbsp;x 50ml)","Beauté et Parfum, Coiffure et soins des cheveux, Produits coiffants, Crèmes, argiles et cires",amazon_fr,,,
74,4.1,LOrealParis,5.7,B00N1ROXAC,"L'Oréal Paris Pure Liss Après-shampoing Cheveux frisés, Indomptables 250 ml","Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Après-shampooings",amazon_fr,,,
75,4.4,LOrealParis,19.7,B000UUQAY0,L'Oréal Professionnel Silver &Eacute,clat Shampooing Protecteur Système 500 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,
76,3.8,LOrealParis,23.8,B003U402AG,L'Oréal Paris Progress Homme Gel de Repigmentation Naturelle Coloration Cheveux Blancs,"Beauté et Parfum, Coiffure et soins des cheveux, Colorations, Coloration permanente",amazon_fr,,,
77,4.4,LOrealParis,17.35,B013PGG6IU,L'Oréal Professionnel Mythic Oil Huile Nutritive 100 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Huiles pour cheveux",amazon_fr,,,
78,3.6,LOrealParis,4.89,B00CWZP5BK,L'Oréal Ombre à Paupières E6 Eau de Rose,"Vêtements, Fantaisie et Specialty, Fantaisie, Hauts, T-shirts",amazon_fr,,,
79,4.2,LOrealParis,13.1,B071KWYBZZ,L'Oréal Magnesium Silver Shampooing 500 ml,"Hygiène et Santé, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,,
80,5,LOrealParis,28.9,B00PXRWFO4,"L'Oréal Professionnel Homme Clay, pâte pour forte Fixation Lot de 3&nbsp;(3&nbsp;x 50ml)","Beauté et Parfum, Coiffure et soins des cheveux, Produits coiffants, Crèmes, argiles et cires",amazon_fr,,,
81,4.1,LOrealParis,5.7,B00N1ROXAC,"L'Oréal Paris Pure Liss Après-shampoing Cheveux frisés, Indomptables 250 ml","Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Après-shampooings",amazon_fr,,,
82,4.4,LOrealParis,19.7,B000UUQAY0,L'Oréal Professionnel Silver &Eacute,clat Shampooing Protecteur Système 500 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,
83,3.8,LOrealParis,23.8,B003U402AG,L'Oréal Paris Progress Homme Gel de Repigmentation Naturelle Coloration Cheveux Blancs,"Beauté et Parfum, Coiffure et soins des cheveux, Colorations, Coloration permanente",amazon_fr,,,
84,3.6,LOrealParis,4.89,B00CWZP5BK,L'Oréal Ombre à Paupières E6 Eau de Rose,"Vêtements, Fantaisie et Specialty, Fantaisie, Hauts, T-shirts",amazon_fr,,,
85,4.2,LOrealParis,13.1,B071KWYBZZ,L'Oréal Magnesium Silver Shampooing 500 ml,"Hygiène et Santé, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,,
86,4.1,LOrealParis,5.7,B00N1ROXAC,"L'Oréal Paris Pure Liss Après-shampoing Cheveux frisés, Indomptables 250 ml","Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Après-shampooings",amazon_fr,,,
87,4.4,LOrealParis,19.7,B000UUQAY0,L'Oréal Professionnel Silver &Eacute,clat Shampooing Protecteur Système 500 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,
88,3.8,LOrealParis,23.8,B003U402AG,L'Oréal Paris Progress Homme Gel de Repigmentation Naturelle Coloration Cheveux Blancs,"Beauté et Parfum, Coiffure et soins des cheveux, Colorations, Coloration permanente",amazon_fr,,,
89,4.2,LOrealParis,11.8,B07MNLBG8L,L'Oréal Paris &ndash, Infaillible More Than Concealer &ndash, Correcteur et Fond de Teint 2 en 1 (321) Coquille d'&oelig,uf 11ml,"Beauté et Parfum, Maquillage, Teint, Fonds de teint",amazon_fr
90,3.6,LOrealParis,4.89,B00CWZP5BK,L'Oréal Ombre à Paupières E6 Eau de Rose,"Vêtements, Fantaisie et Specialty, Fantaisie, Hauts, T-shirts",amazon_fr,,,
91,4.2,LOrealParis,13.1,B071KWYBZZ,L'Oréal Magnesium Silver Shampooing 500 ml,"Hygiène et Santé, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,,
92,4.1,LOrealParis,5.7,B00N1ROXAC,"L'Oréal Paris Pure Liss Après-shampoing Cheveux frisés, Indomptables 250 ml","Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Après-shampooings",amazon_fr,,,
93,3.8,LOrealParis,23.8,B003U402AG,L'Oréal Paris Progress Homme Gel de Repigmentation Naturelle Coloration Cheveux Blancs,"Beauté et Parfum, Coiffure et soins des cheveux, Colorations, Coloration permanente",amazon_fr,,,
94,4.2,LOrealParis,11.8,B07MNLBG8L,L'Oréal Paris &ndash, Infaillible More Than Concealer &ndash, Correcteur et Fond de Teint 2 en 1 (321) Coquille d'&oelig,uf 11ml,"Beauté et Parfum, Maquillage, Teint, Fonds de teint",amazon_fr
95,4.6,LOrealParis,8.3,B006OO5DGW,L'Oréal Paris Mascara Allongeant Telescopic Noir,"Beauté et Parfum, Maquillage, Yeux, Mascaras",amazon_fr,,,
