;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.00022475738047382846;0.040085704933958986;0.0004499666491451129;0.0;0.0009303831741193115;0.00025344667020882046;0.0;0.0;0.0;0.0;0.0;0.0015658862074383253;1.6900471133186342e-05;0.003075815676131367;0.11850855152740251;0.003920534805535972;0.0;0.013630524242997221;0.0
21;Merci;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Shampooing en format salon, dommage que la pompe ne soit pas livrée avec, j'ai du transvaser dans un contenant plus petit. Il laisse une odeur agréable sans être trop forte ou persistante, mousse bien et se rince facilement. J'utilise moins de quantité qu'avec un shampooing de grande surface donc c'est un très bon rapport qualité prix au final.;0.0;0.05089348184872196;0.054058552078702235;0.0;0.0004041815475566829;0.0;0.0005817148621436257;0.0015363664711724304;0.06111886753699847;0.00016047303233041564;0.0;0.0;0.004962933816365632;0.0007127995274963175;0.0;0.023672764519189204;0.003918921752539776;0.0;0.07309103920421725
23;Bonjour,;0.0006072338812172015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008821005328468952;0.0;0.003736015042985514;0.0;0.0;0.0;0.0;0.0052394936453460566;0.0;0.004113748005592299;0.0
24;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;"assez déçue. Ce n'était pas une plume fine comme je l’espérais mais un feutre. Donc moins précis .. par ailleurs, le noir est trop ""noyé"", feutré, dilué.... pas épais et de ce beau trait ""black"" qu'on aime lorsqu'on surligne et prolonge nos regards.";6.323617177552267e-05;0.0;0.0002476183786708583;0.0;0.0;7.296015753497697e-05;0.0003071288305462526;0.0;0.0;0.0004923491713023462;0.005512734700249288;0.000706158621941233;0.0027180333945792026;0.0;0.0062086589194820605;0.0137599119841618;0.0008226127339382935;0.001613072029035744;0.0026573786594709845
26;Mais, je pense que d'autres utilisatrices sauront l’apprécier.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0035358692458782007;0.001391564398557031;0.0007454886248178974;0.0;0.0002402529422090026;0.0
27;Bon produit, redonne douceur aux cheveux mais je le déconseille pour ceux qui ont les cheveux gras, il graisse pas mal le cuir chevelu.;0.00035496583582630086;0.0;0.0019103730511364303;0.010221750889020042;0.0;0.0;0.0;0.0;0.0001066938545872455;0.0012760023879214287;0.0;4.738351603772352e-05;0.0026214137609436436;0.0018642056777097528;0.002004159877390879;0.02784283025635613;0.0017676473934604585;0.0;0.0
28;super contente;0.0009792775423350046;0.0;0.0059469935534012175;0.0;0.0;0.0;0.0;0.005078735970857505;0.007969493046387312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12029428132255443;0.0
29;Je connaissait déjà le produit qui est très bien. Je l'ai recommandé par erreur et renvoyé, j'ai été rapidement remboursé;0.05861555688855288;0.0;0.0;0.0011494530581308286;0.0012261614745608155;0.0013960107374568604;0.0;0.0;0.00912693033243605;0.0;0.0005742030191291731;0.0;0.002239575931531793;0.0;0.0;0.011566033750154487;0.0025003420127104182;0.04105201959304524;0.0
30;Excellent produit de qualité professionnelle. Très satisfaite de cet achat. Vraiment efficace et adapté à mes bedoins. Parfait. A conseiller.;4.068282882506831e-05;0.0006609216017324065;0.0;0.0015973688729727716;0.0019728542211288067;0.09254062297983184;0.08324579059302324;0.0006839318497253825;0.0016812314034314088;0.11679527925068676;0.0;0.0007664043340182187;0.0007930488728367966;0.004385394582138389;0.0;0.0;0.0015735362426419087;0.004245016671748095;0.0
31;Produit avec une bonne senteur qui hydrate et illumine la chevelure instantanément et reste léger et non gras. Je le recommande hautement.;0.05204110580515704;0.00010585431519363669;0.005169281194548694;0.019493181998300864;0.0;0.0015228251945321979;0.0005192362157114595;0.0010269995790599515;0.0;0.0;0.0;0.0;0.00185142643794006;0.0;0.0037614313078353874;0.025253827755882703;0.003516282216185688;0.0;0.0005765375000242274
32;Effet anti âge et revitalisant sur une peau mature hydrate et assoupli la peau;0.00019029794748574302;0.0;0.0;0.14116083306701935;0.0;0.001131818801250808;0.0005222966111276141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004139953153443485;0.0;0.0
33;Pour du l Oréal il est de très mauvaise qualité il colle et bave après moins de 2h vraiment je ne le recommande pas du tout pour tester pas mal de produits il fait parti des plus mauvais;0.04794294273604715;0.00032986737372766727;0.002090636329340778;0.0;0.00014583733859042437;0.0007794966138494743;0.06493453687851979;0.0;0.0009771787633892672;0.00025765022070054345;0.0;0.0;0.0015750355406153273;0.00564638557730645;0.0028897393526888427;0.016134113308047714;0.0;0.0059121458839545855;0.00031541906301630024
34;Brosse agréable, cils déployés, sans paquets. Odeur agréable. Prix raisonnable.;0.0;0.050255559716438955;0.08909656580191291;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010474285593024095;0.0;0.0;0.0032271490752571385;0.027779981918691576;0.0010014458930897926;0.0;0.0
35;Texture super agréable, j’adore !;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45311177140789505;0.0;0.0;0.0;0.0;0.0;0.0
36;Je recommande ce produit que j'utilise depuis longtemps et qui fait son effet de coiffure naturelle sans laque - A essayer sans réserve -;0.0678744422321336;0.0;0.0;0.0;0.00018754740612418887;0.0018175231183542358;0.00018078635643892568;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07350017497295307;0.0009555916384046836;0.0019280658896529332;0.0
37;Très bon produit ... je l'utilise depuis 6 mois et j'en suis plus que satisfaite ....rapport qualité prix également...livraison plus que correcte;0.0;0.08963402804317191;0.0;0.0;0.0;0.10065332583710805;0.0005027706829140871;0.0;0.0;0.0;0.0;0.10849076208147813;0.0;0.0;0.0;0.06755738009943398;0.0;0.0;0.0
38;Ce mascara est super. Je l’utiluse Depuis des années. Par contre vous devez savoir que ce vendeur va vous l’envoyer sans blister. Vous allez le recevoir dans une enveloppe toute simple. Cela n’est pas mentionné dans le descriptif.;3.082937043984153e-05;0.0;0.0;0.0;0.00017452062144937853;0.0016668903364434327;0.0;0.0;0.005097084474730776;0.0;0.0002961659184053639;0.003385247541219328;0.0;0.0;0.003315124849801042;0.004495527093179399;0.0;0.08992859231951962;0.0
39;Le seul qui ne me fais pas pleurer les yeux et que je supporte et qui est bien noir je recommande je ne prend que celui la;0.06424370783790181;0.0;0.0;0.0;0.0;0.0007417930589816808;0.0005541134387158794;0.0;0.0;0.0;0.006551065256297889;0.0;0.0;0.0;0.007927135314333493;0.014954264220836136;0.0;0.002427162423452855;0.004284280517049242
40;nan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;j'ai les cheveux vraiment très très sec et ce shampoing les répare très très bien.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00097624943564717;0.0;0.0;0.0;0.0;0.0;0.0;0.2562651486097031;0.0;0.0
42;obligé de faire une dissertation c relou;0.0;0.0;2.2335510232140706e-06;0.0;0.0;0.0;0.0;0.0003442087148353955;0.00042242815962880044;0.0;0.0;0.0;0.000286707707291336;7.673590398042905e-05;0.0;0.0008549362453492084;0.0;0.0002676027834004936;0.0002543375004315475
43;Heureusement que sur le net il y a des tutoriels parce que le moins qu'on puisse dire c'est débrouille toi avec ce qu'on te vend...De la part d'une si grande marque c'est pauvre, (mais pas le prix) !;3.088488288469014e-05;0.03387707399641896;0.0;0.0;0.0;0.0;0.00040196001696978195;5.389732657163527e-05;0.0;0.0;0.0;0.0007887315044087207;0.0;0.0;0.0;0.024641871183820652;0.0008927634505821049;6.631908037543686e-05;0.006950527349914306
44;Efficacité prouvée grâce à ma fille, venue pour me conseiller, et à qui j'ai offert le deuxième produit.;9.081570852877229e-05;0.0008298724828430615;0.0002017466506199591;0.0013810020061495471;4.3994245546559505e-05;0.0009893090346404364;0.0009430167985943085;0.0;0.002278417855310448;0.00047597742024899233;0.0015732842033127452;0.0;0.0013299365077940298;0.004045738298269577;0.0031756169045454937;0.009078491791745365;0.003419345944365703;0.002439223157192014;0.0015217094720765662
45;J'ai les cheveux courts;3.9697631932017175e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001197286753000664;0.002190265038230263;0.0;0.0;0.0007683974908785682;0.0;0.003512844170363155;0.012431490252742518;0.0;0.0;0.0
46;Je cherchais une cire qui tienne mes cheveux, ne les rendent pas gras, ni d'effet mouillé et que je puisse resculpter;0.0001107174356370192;0.0;0.0032291042823796826;0.008721490183309368;0.0;0.0006181302458612462;0.0007153618516124291;0.0;0.004914065348245784;0.0;0.0;0.0;0.0005481447435062783;0.0;0.0;0.03496551968226645;0.002861899885929068;0.0;0.0
47;Cette cire fait son office, j'en ai essayé plusieurs et c'est la seul qui arrive au niveau de L'Oréal adixion pour homme qui n'existe plus;0.0;0.0002551864059528249;0.0011696704194584036;0.0;0.0;0.0005859497419206599;0.002240580830455841;0.0;0.003953113019226341;0.0006768085423990796;0.0;0.0014059656195206862;0.002696537778938016;0.004859188897759777;0.0;0.02479297417700146;0.0044860111418746195;0.009757750958207445;0.0024797869642208454
48;J'en ai même acheté plusieurs pots vu mon niveau de satisfaction;0.0;0.0007191844462804274;0.0;0.0;0.0;0.0;0.0;0.0006368407537344679;0.0008973126769579765;0.0;0.0;0.0;0.0034498000097080346;0.0;0.0;0.025435157265059627;0.00046995050062013146;0.0027431279514995295;0.0007580986150145026
49;J'ai testé plusieurs palettes correctrices et j'ai fini par acheter celle-ci pour atténuer mes rougeurs et ma couperose.;1.6180137305785486e-05;0.00020586494344094347;0.0;0.0;0.0;0.0;4.924710208809492e-05;0.000471535333827682;0.0011330912093480815;0.0013628346649609783;0.001682176634678466;0.0;0.0006409893621398457;0.0;0.0;0.020015859748643217;0.0;0.002186166386307796;0.0017631822407979789
50;Certains se plaindront du manque d'un pinceau, mais je trouve cela superflu et l'application au doigt plus intuitive et facile pour travailler la texture.;0.0;0.0002980866902829817;0.0003335777099481037;0.0;0.0;0.0;0.0005895646260885326;0.0;0.0;0.0;0.0020707075964794207;0.0;0.0923092856146693;0.0;0.09873788804339112;0.005299407111334105;0.0;0.0;0.0
