;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
28;abusé;0.0;0.004096619682642624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.972255700808011e-05;0.0;0.0;0.0;0.0;0.0;0.0013128703138497932;0.0005150683563928741
29;abîme;0.0018874659548552572;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005807884784568254;0.0;0.0008039963020668127;0.013617144804346507;0.0;0.0;0.0;0.0008261288894063795;0.0005104625977334791;0.0004510098001556693;0.0
30;abîmer;0.025660391866655592;0.03787594739550286;0.0;0.0;0.002506901782920188;0.010382486584665658;0.0002853571073094871;0.03027247903272006;0.002200223169306691;0.009250073396618085;0.020077274212705963;0.0;0.0;0.05829383510287624;0.0034335381895047304;0.03979261104314539;0.1180239774276917;0.0;0.0
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005863713303308655;0.001567395964982403;0.0;7.172530567241716e-05;0.0;0.0;2.416227705632369e-05;0.0001555955701287428;0.0005212788793019287;0.002365232290695455;0.0;0.0
32;abîmé;0.002474104857804923;0.0;0.002024106774890326;0.0;0.0;0.0;0.0009283892277937824;0.0002734493649144762;0.0;0.0;0.0;0.0012960203983788537;0.0;0.002226501543410597;0.0;0.007576208942426713;0.04382614369888431;0.017360685344780483;0.0006494098528453088
33;acaht;0.0;0.0;0.0;0.0006059072773340043;0.0;0.005606261695680828;5.3995706506529814e-05;0.0;1.1657908560822098e-05;0.0;0.0;0.0;9.461030503477797e-05;0.0;0.00019688924290534924;0.0;4.963553487609784e-05;3.7911475286902544e-05;0.0
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008474798509021305;0.0;0.0;0.0;0.0;0.0;0.0;0.00025251394219380973;0.0;0.0;0.0
35;acceptable;0.0;0.005474520148625941;0.0;0.0;0.0;0.0;0.008492845878391764;0.0;0.0;0.0;0.0;0.00012697804688404298;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;accessible;0.0;0.01692031376221271;0.00010044739211336142;0.0;0.0;0.0;0.011358279341350697;0.0008982169288858908;0.007355786893939675;0.0;0.0;0.005976147235401895;0.0;0.0;0.0;0.006938016327253941;0.0;0.0;0.000715101619527706
37;accessoire;0.0;9.26478044818965e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0023924007233205;0.0;0.0;0.002820411608640144
