;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
24;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;"assez déçue. Ce n'était pas une plume fine comme je l’espérais mais un feutre. Donc moins précis .. par ailleurs, le noir est trop ""noyé"", feutré, dilué.... pas épais et de ce beau trait ""black"" qu'on aime lorsqu'on surligne et prolonge nos regards.";0.00012172395798896658;0.0;0.00040705231557690535;5.471412793688331e-05;0.0003318651620503891;0.0002951027667322789;0.00032407364758950044;0.0;0.00029271775496947285;0.000669134270097861;0.004819922449028862;0.0009228765492438364;0.002933695987307376;0.0;0.006189316781741577;0.0016081847597690312;0.0011755432213040816;0.0016601593364064552;0.00214770876127823;0.0014410093703879434;0.0023219788912672225;0.0;0.00946075809416422;0.0;0.007543681324595619;0.0
26;Mais, je pense que d'autres utilisatrices sauront l’apprécier.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0029564123403326478;0.0013855544084644407;0.0;0.0;0.00011304852393174332;0.0010559073351263718;0.0;0.0;0.0;0.00014864707232055586;0.0006494608889542436;5.2152851676185744e-05;0.0
27;Bon produit, redonne douceur aux cheveux mais je le déconseille pour ceux qui ont les cheveux gras, il graisse pas mal le cuir chevelu.;0.00010052320249010746;0.0;0.0;0.0011995353562698134;0.0001420175883748238;0.0;0.0;0.0;0.0005703374530032161;0.0011295184293446637;0.0002247154319956578;0.00042070844191371227;0.001743880031833851;0.0005990889112244016;0.0017958220626359239;0.003690066808727332;0.0;0.0;0.0;0.0;0.0;0.1345672236196794;0.0;0.0006507033134858008;0.005154411069399921;0.0
28;super contente;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3608620636937283
29;Je connaissait déjà le produit qui est très bien. Je l'ai recommandé par erreur et renvoyé, j'ai été rapidement remboursé;0.05786907407858934;0.0;0.0;0.0014277365720390517;0.0007941679261852673;0.0008142922765884483;0.0;0.0;0.005908508127699175;0.0;0.0;0.0;0.0008481048555877579;0.0;0.0;0.0;0.0014074988028597165;0.0301038451781302;0.0;0.0;0.0;0.0003736873823056694;0.0;0.0039019956370221266;0.06280645855128636;0.0
30;Excellent produit de qualité professionnelle. Très satisfaite de cet achat. Vraiment efficace et adapté à mes bedoins. Parfait. A conseiller.;0.0;0.00015030172999960822;0.0;0.0012362891995666907;0.0033024588085513186;0.0904578952125731;0.08113607060112661;0.00031395810228149906;0.0006242581742216257;0.11622891169781815;0.0;0.00026024492705807833;0.00022974844544568028;0.0025676130353763454;0.0;0.0;0.0003640586303552673;0.0;0.0;0.0;0.0;0.001110862224725168;0.0;0.0;0.024063230702704073;0.012328087517414786
31;Produit avec une bonne senteur qui hydrate et illumine la chevelure instantanément et reste léger et non gras. Je le recommande hautement.;0.0513225735264213;0.00032105129489216894;0.0026751898315688083;0.009763011831966885;0.0;0.0019635239038214296;0.00048378927169967544;0.0005712788503010853;0.0;0.0;0.0;0.0;0.0009892558606905118;0.0;0.004344335938008754;0.0;0.0012124858391713105;0.0;0.0;0.0;0.0014458058401894194;0.13190788203003606;0.010830263567370126;0.0016075258400747733;0.0;8.102661141828916e-05
32;Effet anti âge et revitalisant sur une peau mature hydrate et assoupli la peau;0.00017509831120039452;0.0;0.0003646188961416336;0.13546835287943348;0.0;0.001055031500670147;0.0004876630620131308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0038692091724117266;0.0;0.0016798296834621715;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;Pour du l Oréal il est de très mauvaise qualité il colle et bave après moins de 2h vraiment je ne le recommande pas du tout pour tester pas mal de produits il fait parti des plus mauvais;0.04775991640254959;0.00016559600130830343;0.002339011285185377;0.00020203093596179146;0.0011159248548032418;0.0009308620534990016;0.06332799390153387;0.0;0.001395671738872501;0.0003526149247337631;0.0;0.0;0.0016898586579907106;0.00453724902780244;0.0033447457746991344;0.0051002737332931135;0.0;0.004745767447388697;0.0013674589438886831;0.0020913202880540518;0.0;0.0018221670377136033;0.0023536951546002938;0.0;0.017148172799906557;0.0
34;Brosse agréable, cils déployés, sans paquets. Odeur agréable. Prix raisonnable.;0.00016186934954091613;0.047856542675331334;0.08893326470089463;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.243286038177329e-05;0.0015763154649302117;0.0;0.0;0.0025914709892948242;0.011599572673726211;0.002399191835276445;0.0;0.017331852605179766;0.0;0.0;0.0;0.009083827069786745;0.0007409752906154944;0.0;0.0024211741326063984
35;Texture super agréable, j’adore !;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4231254177668987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;Je recommande ce produit que j'utilise depuis longtemps et qui fait son effet de coiffure naturelle sans laque - A essayer sans réserve -;0.06748927028994561;0.0;0.0;0.0;0.0018191843015891668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008650893793608482;0.0006969830737387048;0.0;0.11768645245556918;0.0;0.0;0.0001513037000765251;0.0;0.03669610833781074;0.0
37;Très bon produit ... je l'utilise depuis 6 mois et j'en suis plus que satisfaite ....rapport qualité prix également...livraison plus que correcte;0.0;0.08659803888645771;0.0;0.0;0.0;0.09649804138002357;0.0006975043519903368;0.0;0.0;0.0;0.0;0.10842073329697921;0.0;0.0;0.0;0.0006947795792913824;0.0;0.0;0.0;0.13127779916698423;0.0;0.001013164802610181;0.0;0.0;0.0;0.0
38;Ce mascara est super. Je l’utiluse Depuis des années. Par contre vous devez savoir que ce vendeur va vous l’envoyer sans blister. Vous allez le recevoir dans une enveloppe toute simple. Cela n’est pas mentionné dans le descriptif.;0.00013685872303088132;0.0;0.0;0.0;0.002200715315820704;0.0013650308332729692;0.0;0.0;0.005425361885000302;0.0;0.00023943452721479156;0.003342466784516919;0.0;0.0;0.0030351242544765615;0.0002474651365082563;0.0;0.07154507582308532;0.0;0.012515666637800215;0.0;0.0;0.0002162215782954205;0.0;0.0;0.0012978499523979938
39;Le seul qui ne me fais pas pleurer les yeux et que je supporte et qui est bien noir je recommande je ne prend que celui la;0.06390002383077314;0.0;0.0;9.563782061081206e-07;0.0007736971363764876;0.0010054135232128157;0.0006477628647311226;0.0;0.0;0.0;0.005687501981825275;0.0;0.0;0.0001236858671793252;0.008049799176591458;0.0008371334900466662;0.0;0.002241671811526509;0.0010805610452862063;0.00046462121733888004;0.0035955024338522675;0.0;0.013668925626341076;0.0;0.010609721242152122;3.378924765981752e-05
40;nan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;j'ai les cheveux vraiment très très sec et ce shampoing les répare très très bien.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010295185205152347;0.0;0.0;0.0;0.0;0.0;0.0;0.23342474387901188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;obligé de faire une dissertation c relou;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00034813859097592326;0.00043603970811999677;0.0;0.0;0.0;0.0003001316556785564;0.0001231552076324592;0.0;0.0004178051677212883;0.0;0.0;0.00022195408597553088;0.0;0.0002116153931940264;0.0001391836251463982;1.8047747792515635e-05;0.0;0.00021469290676341104;0.0009350530156844849
43;Heureusement que sur le net il y a des tutoriels parce que le moins qu'on puisse dire c'est débrouille toi avec ce qu'on te vend...De la part d'une si grande marque c'est pauvre, (mais pas le prix) !;0.0;0.030670409540076528;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005685872957118266;0.0;0.0;0.0;0.005514111329232206;0.0;0.0;0.0;0.0;0.0007392554705242186;0.0;0.0;0.0;0.08492514808396558;0.0
44;Efficacité prouvée grâce à ma fille, venue pour me conseiller, et à qui j'ai offert le deuxième produit.;3.6536886672122034e-05;0.00025277126752034306;0.00025710469002487656;0.001578481463080694;3.561220312868103e-05;0.0007772109457001429;0.0008186175832943723;0.0;0.0013870106144030598;0.00021657537597958416;0.0008905146722374708;0.0;0.0009755123917058985;0.002486177226897599;0.002860495758111793;0.0;0.002301628053546489;0.0009508840967547176;0.0005899559844760938;0.0022435774658505925;0.0007600199264326018;0.0006406941319035225;0.0009919936854915399;0.0;0.030592726426138483;0.0
45;J'ai les cheveux courts;0.00015962524354877887;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0019195003126743133;0.002548503002357391;0.0;0.0;0.0012001793885003567;0.0;0.0037819915883309987;0.003702949521514589;0.0007789905832291868;0.0;0.002914298296259795;0.0008315405727195763;0.0;0.0;0.0019640747916046405;0.0004562420326347216;0.006267616182654178;0.0
46;Je cherchais une cire qui tienne mes cheveux, ne les rendent pas gras, ni d'effet mouillé et que je puisse resculpter;0.0;0.0;0.0;0.0;0.0;0.0009538355472150017;0.0007244530814986997;0.0;0.006020534062449074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1676896487130949;0.0032924969567214315;0.0004105498271909597;0.0066366814717372935;0.0
47;Cette cire fait son office, j'en ai essayé plusieurs et c'est la seul qui arrive au niveau de L'Oréal adixion pour homme qui n'existe plus;0.0;0.00013910161905746616;0.0012511845878593365;0.0008265990539380084;0.00046359821642531643;0.0006615093635019655;0.0017521354234678783;0.0;0.0044725110711119195;0.0009331443543683;0.0;0.0015441382209259108;0.002579977902565109;0.002858464766040696;0.0;0.0006820690978805541;0.0029056253096616754;0.004787589320663608;0.0016548995194939175;0.0006011018377931368;0.0017685728211062133;0.010268999820179172;0.0029494701797419727;0.00022854408983437482;0.045792149450555764;0.002405386777898977
48;J'en ai même acheté plusieurs pots vu mon niveau de satisfaction;0.0;0.00015170774869889187;0.000182124400265262;0.0;0.0;0.0;0.0;0.00034891099195056175;0.0;0.0;0.0;9.27771481737334e-06;0.0033989703277510917;0.0;0.000543713321654438;0.0;0.00021279932350961182;0.0;0.0017092217438400509;0.0;0.0;0.0;0.0;0.0;0.06782648741659553;0.001008314572912345
49;J'ai testé plusieurs palettes correctrices et j'ai fini par acheter celle-ci pour atténuer mes rougeurs et ma couperose.;3.4897439884751605e-05;0.0;0.0;0.0004728348705937561;0.0;0.0;3.809296755766753e-05;0.00027925470972462927;8.333404818795456e-05;0.0011990146162714195;0.0019274074117517452;0.0;0.0007714679834114584;0.0;0.000327691457383425;0.003169671745848892;0.0;0.0;0.0010127960380805008;0.0;0.0006333234489801179;0.00016568504620251065;0.0;0.0;0.04605144843695886;0.0
