;term;0;1;2;3;4;5;6;7
81;adeptes;0.0;0.0;0.0;0.0;0.0;0.0016878661116869983;0.0;0.0012420234204399217
82;adhère;0.0;0.0;0.0015330290572015722;0.0;6.989406546894172e-05;0.0005191929749382196;2.8730530554205046e-06;0.001504536942474376
83;adhérer;0.0;0.0;0.0;0.0;2.3253751245702354e-05;0.00010493238884153268;0.0;0.0007182054422729373
84;adhésion;0.0;0.0;0.0;0.00011972679591872402;0.0;0.0016096386738399574;0.0;0.0018573433893260575
85;adict;0.0;8.851418619418151e-06;5.887011269659661e-05;0.00013359979477523885;0.0;0.0;2.4695677146517566e-05;0.0003598233924444202
86;adieu;0.002102722375747435;0.0;0.0;0.0;0.0;0.0;0.0;0.0004250712834494162
87;adixion;0.0;8.573404102701013e-05;4.0193148541848173e-05;1.3876560756770168e-05;1.2360914690837318e-05;0.0;0.0;0.0006433641391512702
88;admettre;0.0;0.0;0.0;7.541363111568652e-05;0.0;0.0;6.087180073605937e-05;0.0005319705930697001
89;ado;0.0;0.0;0.0;0.0;0.0;4.047978119254841e-07;0.0;1.4305069096615114e-06
90;adobe;0.0;0.0010666180330627588;0.0;0.0;0.0;0.0007793727625129505;0.0;0.00018463493130921847
91;adolescence;0.0;0.0;1.6187730622777562e-05;0.0;0.0;0.0017833404425513565;0.0;0.00043012443293043373
92;adooooooooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.602993570462486e-131
93;adooooooooore;0.0;0.0001836868952660668;3.4084886782742616e-05;0.0002806662826730477;4.786767692664685e-05;0.0;7.331385692161165e-05;0.000753175455623818
94;adooooooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.602993570462486e-131
95;adooore;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5739075979153514e-07
96;adoore;0.0;0.0006141171764063498;0.0;0.0;0.0;1.0650317473877353e-05;0.0;0.0016108411685937423
97;adopte;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006364723858161994
98;adopter;0.0028991182516767975;0.0;0.0;0.0;7.392326855007049e-05;0.006556352490574407;0.0;0.002156176788475237
99;adopté;0.0;0.0;0.00625851667960695;0.0005354240043920581;0.0;0.005931769427919546;0.0031246397015014405;0.0024547183888893997
100;adore;0.0;0.0;0.0;0.0;0.0;0.0;2.4760041396176176;0.0
101;adoreeeeeee;3.1617874443060844e-06;0.0;6.421788270861738e-06;0.00010016024022920411;0.0;0.0;5.696405570933198e-05;2.8078975457848767e-05
102;adorent;0.0;0.0;0.0001094979249322306;0.0;0.0;0.015295229840208271;0.0005722302239539535;0.0007175894652947906
103;adorer;0.002228435766896419;0.014570583540372843;0.0014165958241568934;0.0;0.0;0.026884618078544604;0.016964094450816314;0.0
104;adorrrrrrrreeee;0.0;0.0;0.0;2.9018032700359126e-05;0.0;0.0;0.0005077114720729841;0.0003608034888927191
105;adoré;0.0;0.0;5.6027208893198614e-05;7.165543431003704e-05;0.0;0.0004698475135662511;4.384971288848352e-06;0.00048214538201852035
106;ados;0.0;8.687165752364883e-05;2.8019489601283847e-06;0.0001397158767860253;0.0;0.0;5.250666910100303e-05;0.00015544526999057497
107;adouci;0.0;0.014191428153118699;0.0;0.0;0.0;0.004802933806586448;0.0;0.0004402129776354791
108;adoucir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006731132375821204
109;adoucissent;0.0;0.0;2.66340578275191e-05;3.462264886036622e-05;0.0;0.00013068752244887663;0.0;0.0006003167138372434
110;adoucit;0.0;0.0029715346845770735;0.0;0.0;0.0;0.015210091948671267;0.0;0.0
111;adpater;0.0;0.0;0.0;0.0;0.0;0.0001245122276977595;0.0;0.0005189755146011829
112;adresse;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002499684471085373
113;adresser;0.0;7.010065275369994e-05;1.1481049449474132e-05;0.0;0.0;0.0;0.0;0.0009929097063106989
114;adulte;0.0019357037843119995;0.0002569053899973215;0.00010889727045115764;0.0;0.0;0.0;0.00022721597297001474;0.0
115;advers;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0015424139039490806
116;adéquat;0.0;6.081019382886522e-06;0.0;3.063885929617027e-05;4.4324225426283236e-05;6.218336105268299e-05;0.0;0.0003801761847704023
117;affaire;0.0;0.0;0.0;0.0;0.00021317595940525058;0.008433500950935598;0.0;7.653811722581786e-05
118;affecter;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0026856809888301733
119;affine;0.0;0.0;0.0;2.055020036608245e-05;0.0;0.0;0.0;0.00012042605574419283
120;affiner;0.0;0.0;0.0;0.0;0.0;0.011711539656140317;0.0;0.0
121;affoler;0.0;0.0;0.002454268650572125;0.0;0.0;0.0;0.0;0.001028427734718974
122;affreux;0.0;0.00024585207556774853;5.026879218443143e-05;0.0;2.0043943648674166e-05;0.0003116713432826265;0.0;0.0005919374678323845
123;affronter;0.0;0.0010679554228336724;0.0;0.0;0.0;0.0004719305835357171;0.0;0.0006091067889073807
124;africain;0.0;0.0;0.0;0.0004917971115947258;0.0;0.00022335030483476605;0.0;0.0036438191650613933
125;afro;0.0;0.0;0.0;8.681526806592451e-05;8.651804816015874e-05;0.00040164723164594286;3.393990436281708e-05;0.0004144827513124338
126;after;0.0;0.00014165602913868483;0.0;0.0;0.0;0.0011085472980617123;0.0;5.2505012841591525e-05
127;aftershave;0.0;0.005712556359117944;0.0;0.0;0.0;0.0;0.0;0.0
128;age;0.0;0.0009229081661770317;0.00036548357855084904;0.0;0.0;0.0016572409403304504;0.0;0.0025396283777372923
129;agen;0.004123324156931514;0.0;0.0;0.0;0.0;0.0;0.0;0.0
130;agent;1.4340124225812029e-05;6.382849653079124e-05;1.7132966536001823e-05;0.0;0.0;0.00022299370018111372;0.0;3.951741785257823e-06
131;agglomérer;0.0;0.0;0.0;6.926227185686216e-05;0.0;0.0;0.0;0.0016164965871684725
132;agir;0.0;0.0;0.0014631529392717148;0.004502718845900896;0.0;0.0016937201704563347;0.0;0.02717863807027518
133;agrable;0.0007479347725191194;0.000863112626554056;0.0005249235186606618;0.0;0.0;0.0;0.0;0.002631859488933015
134;agrandir;0.0;0.00025527096023166305;0.0;1.150676261954347e-05;0.0;0.00028459774836398405;0.0;0.001022406811614259
135;agraphe;0.0;0.0;1.2930444449244957e-05;6.442769033471667e-06;7.063274931501658e-05;2.2637186046920113e-06;0.0;0.00020400828114918758
136;agreabke;0.0;0.002253846087396624;0.0;1.8136515109593232e-05;0.0;0.0;0.0;0.00012087645065700554
137;agreable;0.007617465309603623;0.07280616310265123;0.0;0.003582313203896242;0.0;0.04443541907533882;0.0411682182502265;0.0041419142537664315
138;agresse;0.0;0.0;0.0;0.00017387770031564666;0.0;0.002548420483446916;0.0;0.0003015087702031362
139;agressent;0.0;0.0;0.0;0.0003031032532936611;0.0;0.0;0.0;0.0005992254900996261
140;agresser;0.000737829101109859;0.0;0.004930921510317683;0.0;0.0;0.0045812409418582705;0.0;0.0002370912378060387
141;agressif;0.0010119140741760419;0.0;0.00045121894718432867;0.0;0.0;0.001232902057358207;0.005197238574602624;0.007627833170741291
142;agression;0.0;0.00016030489390538757;4.595490104149887e-05;5.124808678890561e-07;9.099604370663698e-07;0.00021131102451362523;2.9455626065636824e-05;0.0002777240339248258
143;agressions;0.0;2.4918196322267353e-05;2.9059097066895948e-05;4.7979035565126645e-05;0.0;0.0012901750890146413;0.0;5.849817975807262e-05
144;agrèable;0.0;0.008745499640646756;0.0;0.0;0.0;0.0;0.0;0.00038603207644732646
145;agréabe;0.0;0.0022943829290839567;0.0;0.0;0.0;0.0;0.0;0.0002955029374963292
146;agréable;0.0;2.572340604621723;0.0;0.0;0.0;0.0;0.0;0.0
147;agréablement;0.0;0.0;0.0;0.0;0.0013132148982840475;0.024534574953424843;0.0;0.0029848185694937787
148;agréble;0.0;0.003892829292702783;0.002418557543563183;0.0;0.0;0.0;0.0;0.0006762937257273906
