;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
53;achats;0.0;0.0;0.001528268588969858;0.0026183836687665297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.023628356869039e-05
54;ache;0.0;6.434198919989517e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0002489945365604637;1.401766788503558e-05;0.00022349264561332397;3.853609667980937e-05;0.0;0.0;0.0;0.0006689858380893336;0.0;0.00011608326957531038
55;acheminement;0.0010664974693858132;0.0034275203963633656;0.0;0.0;0.0;0.0;0.002200355708349893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011617274437046908
56;achetais;0.0005115416125772928;0.005870041948276686;0.0;0.0;0.0;0.0;0.0;0.0;0.0009469155952362125;0.0;0.0007660112115749027;0.0;0.0;0.0;0.0;0.01620246004916441;0.0;0.0
57;achete;0.0;0.0;0.0;0.0;0.018461332884228326;0.0;0.0;0.0;0.0024692622145468606;0.0;0.0031871454016801394;0.0;0.0;0.0;0.0;0.006860010257193865;0.0;0.0
58;acheter;0.0;0.01320075623282268;0.0;0.0;0.006928783659393324;0.008555094571904238;0.0;0.019538364738048576;0.032340583738510856;0.010068155989449459;0.0;0.0;0.0;0.0;0.00015384039626191608;0.30445192836028256;0.0;0.05904253373359603
59;acheteur;0.0;0.002287306374137291;0.0;0.0;0.0;0.0;0.0;0.0;0.0003943224385339486;0.0;0.0;0.007261274354699053;0.0;2.5148992938804228e-05;0.0;0.0012363461180999607;0.0;0.0006175452687102526
60;achetez;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007676638283158383;0.0;0.0031290814749397396;0.00012737801743785684;0.0
61;achette;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01077839300241806;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62;achetée;0.0;0.0;0.0;0.0;0.0;0.0;5.27589563050338e-05;0.0;0.0;0.0;0.0006746039366260911;0.002523260400020252;5.259494493039308e-05;0.0;0.0;0.0025864022760673493;0.0;0.0006122324522174218
63;achète;0.0026341828350901933;0.0025744144237319472;0.0;0.0;0.0;0.012610132559336015;0.0;0.0;0.013598457128653478;0.0;0.0;0.0;0.0;0.0;0.0;0.07198788179129462;0.0;0.017548075257208275
64;achèterai;0.0;0.004043385371350469;0.0010431123481502017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002436295790450921;0.0;0.0;0.0017791723673138773;0.0037561838602777117;0.0;1.6477340730649565e-05
