;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
2082;Très satisfaite de mon achat très Super crème j'utilise depuis 3ans maintenant pas déçu dutout je recommande vivement cette crème;0.07093028085054193;0.00014902524772817302;0.0002880608044049675;0.0;0.003592191417246907;0.09903953355129796;0.0001280043611708432;0.0;0.0;0.0;0.0;0.0;0.0028653633627176234;0.0;0.0;0.0;0.0;0.0;0.0;0.12303169751731104;0.0001432789505614048;0.0;0.01792828360712921;0.0017932156166987113;0.0045806696042663955;0.0;0.0;0.0;0.020157971994067384
2083;Le meilleur des eye-liner !!! Des traits d'une précision parfaite cela fait des années que je l'utilise et je ne compte pas en changer !!;0.000332116857487673;0.00043359321645180973;0.0;0.0;0.0;0.002524543292541316;0.0003104224089414669;0.0;0.09549075372257616;0.0;0.0009381419787391096;0.0;0.0;0.003390711642549578;0.0030473993001988043;0.0007261197738360223;0.0018622075544752117;0.0;0.0;0.01886870070573014;0.0;0.0;0.0;0.003724061376590907;0.0;0.0;0.0017163516346043798;0.002924229121440113;0.0179483919924339
2084;Produit qui entretient le blond et très efficace.;0.0004958124389190274;0.0;0.0;0.0;0.00017567855529289751;0.0008808409196341909;0.0;0.0;0.0030210689804330074;0.1784998118748321;0.019335485072408686;0.0;0.0;0.0004387281066107371;0.0;0.0;0.0;0.006560816619071886;0.0;0.0007292973527639354;0.0;0.0;0.003872095405600274;0.0;0.007488920096055627;0.0;0.0;0.0;0.0
2085;Sur cheveux fins, secs, poreux et colorés, résultat spectaculaire. Tous doux et brillants sans pour autant être gras, ce masque les hydrate sans les alourdir. Vraiment parfait.;0.0001991395303685605;0.0;0.0;0.00530980471812813;2.5303495522477338e-05;0.0010772912052026337;0.0002642428023213653;0.07404351839061349;0.0;0.0;0.0;0.0;0.0;0.07539660442395225;0.0;0.0;0.09171254607076738;0.07833688533926435;0.0;0.0017103915160416744;0.0;0.0981082904802604;5.307677643326219e-05;0.004232047574605201;0.0;0.0;0.0;0.0;0.0
2086;Je suis une adepte de cette bb crème.Ça fait trois ans que je ne prend que celle ci.Légère,naturelle, elle laisse un teint parfait et tient toute la journée. je le recommande vivement;0.06208133218904548;0.0;0.001123840851551329;0.0;0.0;0.0007370857801925163;0.0;0.0;0.008861096783501832;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02367894812678293;0.0001343227984009534;0.0;0.0005365700939897218;0.16170563474313907;0.008557308273226474;0.1450359820390447;0.0;0.0;0.0
2087;J’adore cette palette;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2088;Permet de camoufler les petites imperfections avec les teintes violette pour les cernes et le vert pour les rougeurs;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00036219443117182023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12059223699560016;0.12470919071024923;0.0;0.0
2089;Les 3 autres teintes permettent de se rapprocher au mieux de la carnation;0.00021934702384754408;0.0;7.40978436768508e-05;0.0;0.0005432421127966187;0.0;0.0;6.181304879329792e-05;0.0016807001679628915;0.0;0.0;0.00040874130359574935;0.0002869653670704913;0.0021457510634430937;0.001074645571228857;0.0;0.0015176710470294304;4.685092565792728e-05;0.00038714002053886554;0.0003378338204160561;0.0;0.0;0.0;0.006326362813507515;0.0010692737385129456;0.003524357599753128;0.0017806551344131923;0.00047586566179737527;0.0069681994078493225
2090;Livraison parfaite et rapide;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4316687639995839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2091;Très bon produit.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2092;Parfait  quand on a des mèches  blondes pour les déjaunir 2 fois par mois pas plus produit de qualité  professionnelle;0.000856071776079457;0.0;0.0;0.0;0.0;0.0004604492898712483;0.09538068320186077;0.0006765039551550938;0.005383313910292042;0.0025929454310140492;0.012321691464422154;0.006545331384984416;0.0;0.006457828490760969;0.0;0.0;0.0;0.012794128594030556;0.0;0.0264750710250262;0.0;0.0;0.003777516226927952;0.0;0.021746087454534956;0.0;0.002349371957148981;0.0;0.002599064791257404
2093;Comparé au prix des flacons vendus dans les salons de coiffure (12,60 euros les 250 ml), il n'y a pas photo, et la pompe est un plus.;0.00018888515062876648;0.03625499428464721;0.0;0.0;0.005828302595242948;0.0007663414455927229;0.0002219166703109748;0.0;0.001200096683770979;0.0;0.0;0.0;0.0;0.0;0.0006742649073143926;0.0037437860883862274;0.0;0.0;0.0;0.0007564814364301616;0.02077903146345536;0.0;0.0;0.000993630471481255;0.0123135102028225;0.0;0.0022578781678058916;0.10032896879903219;0.006460786810454094
2094;C'est un achat que je ne regrette pas !;0.0;0.0011004341823871678;0.0;0.00016333568686868925;0.008340072114783744;0.010518318583226754;0.0006573652564605206;0.0008315447128506849;0.0;0.0003139765203726258;0.0011928529303487632;0.003110693168068951;0.0002748899888034838;0.0;0.0017790562019178607;0.0003555988198815866;0.00018708378927684605;0.0;0.0;0.0004978986550297447;0.002234319320655038;0.0005846262163351244;0.030787342169386913;0.004166013081050326;0.006821708356778411;0.0;0.0046124418789630205;0.0;0.0002404651000325453
