;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
23;absorber;0.0;0.0;0.0;0.0010602244153725302;0.0;0.0;0.0;0.0;0.00023309914811071102;0.0;0.0;0.0;0.0;0.0;0.0;0.0028328750249886603;0.0;0.0;0.0;0.0011271968020071543;0.0;8.906262480668234e-05;0.0;0.0;0.0;4.007324128753394e-05;0.0;0.0;0.0007298238015394763;0.0004348324287392822
24;absorbé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002517196248462716;9.334330408751804e-05;0.0;0.0;0.0;0.0;0.002520512335358252;0.002125232944800221;0.0;0.0;0.0;0.0;0.0;0.0;0.00031378470082317277;0.0017516876743145662
25;absorbée;0.0;0.0;0.0;0.026156346348454852;0.0;0.0;0.0;0.0;0.0;0.0;0.005430767136662811;0.0;0.003376992828730031;0.0;0.0031284227578117795;0.007034793264233661;0.0;0.0033915745842718796;0.0;0.0011970330092335422;0.0;0.006320208803060495;0.0;0.0;0.0;0.0;0.0;0.00021265580277043288;0.0;0.0
26;absorption;0.0;0.0;0.0;0.005856305944698899;0.0;0.0;0.007179146834652224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011362795273624958;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003037704115443364;0.0;0.0;0.0;0.00014446534434946543;7.375845743748137e-05;0.0;0.0001859987331800304;0.00016850347002715847;0.0;0.00016335877237165332;2.4130909864766908e-05;0.0;0.0002759016422341997;0.002738382827546465;0.0;0.0;3.67403937243189e-05;0.0;0.0;0.0
28;abusé;0.0;0.004429355839389775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.149513445033401e-05;0.0;0.0;0.0;0.0016523998785306466;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0020762059578092436;0.0;0.0
29;abîme;0.0018385566487850232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002452013408946644;0.0;0.00029832850673664477;0.013567669610933131;0.0;0.0;0.0;0.0003179161414701714;0.0004927655572074278;0.0022774925161626455;0.0;0.0;0.0;0.0;0.0;0.0006345481204608599;0.0022871776902650127;1.954796589264357e-05;0.0;0.0;0.0;0.0
30;abîmer;0.025582551217665665;0.040724433042207867;0.0;0.0;0.0055578034095970985;0.01058572232581052;4.945714328412116e-06;0.028381560372701845;0.0;0.008506082837625013;0.023438848576179068;0.0;0.0;0.06703649913675652;0.0018609864128137947;0.0;0.1247600888692983;0.011291647458201978;0.0;0.004500655280573976;0.0;0.012086457964066008;0.029667798878513063;0.0;0.012715904547877206;0.0;0.005253367385765226;0.0;0.04866350225757813;0.01658211876576942
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005603768752244061;0.0012584039856468022;0.0;0.0;0.0;0.0;0.0;5.457373420875396e-05;0.0;0.002408353115310166;0.00162626764643362;0.0;0.0;0.0;0.0;0.0;0.0;0.0020368630019548923;0.0;0.0;0.0;0.0;0.0006600678868175668
32;abîmé;0.0019972445004562437;0.0;0.0006685159997100047;0.0;0.0;0.0;0.0006574613347660216;0.0;0.0;0.0;0.0;0.0012897608218648063;0.0;0.002351995320765682;0.0;0.025109597351077203;0.045234607262844805;0.0037551294084392866;0.0;0.0016851190263555;0.0;0.024223785127919315;0.0;0.0;0.0;0.0037927075004264106;0.003764934599156592;0.00814252969149375;0.0;0.0
33;acaht;0.0;0.0;0.0;0.0005224065894959088;0.0;0.00576385417277035;5.1050282017846434e-05;0.0;2.406520073433682e-05;0.0;0.0;0.0;8.215554786912798e-05;0.0;0.00016791668527075436;0.0001369666790515881;6.802607023833776e-05;0.0;0.0;0.0;0.0;3.410196291537647e-05;0.0;0.00039111073642582116;0.0;0.0005399821785761304;8.032895496832311e-05;0.0;0.0;0.0
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008417922738885822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00028146492883165107;0.0;0.0;0.0;0.0;0.0;0.00038888434245206674;0.0;0.0;0.001186434354695344;0.0;0.0;0.0
35;acceptable;0.0;0.006045758033590578;0.0;0.0;0.0;0.0;0.008820039735625838;0.0;0.0;0.0;0.0;0.0001336595679871622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001255054181348352;0.0;0.0;0.0;0.0002447005642002525;0.0;0.0;0.0005288249391972211;0.0
36;accessible;0.0;0.014410806083282329;0.0;0.0;0.0;0.0;0.011895486203218735;0.0006036141360725088;0.006826085480949867;0.0;0.0;0.005746591290611276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024673997296460414;0.00011809790869279754;0.0;0.009979773782950717;0.0;0.014553342919376815;0.0;0.0;0.00827803622115589
37;accessoire;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010724748223481987;0.004643938039428378;0.0;0.0009865405066643983
38;accompagne;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017756418656987655;0.0;0.0;0.0;0.0
