,product_id,brand,product_name,price,avg_mark,product_type,retailer_id
6558,P3288012,NUXE,"Huile Prodigieuse Or - Huile sèche multi-fonctions visage, corps",35.99,4.5,huilenourrissante,sephora_fr
6559,P3288019,NUXE,Crème Fraîche de Beauté - Crème fluide hydratante 48H,26.99,4.8,crmedejour,sephora_fr
6560,P3288020,NUXE,Crème Fraîche de Beauté - Crème riche hydratante 48H,26.99,3.666666667,crmedejour,sephora_fr
6561,P3288021,NUXE,Crème Fraîche de Beauté - Crème hydratante 48H et anti-pollution,26.99,4.714285714,crmedejour,sephora_fr
6562,P3288023,NUXE,Crème Fraîche de Beauté - Masque hydratant 48H et anti-pollution,19.5,4.5,masquecrme,sephora_fr
6563,P3288022,NUXE,Crème Fraîche de Beauté - Sérum hydratant 48H et anti-pollution,29.99,5.0,srum,sephora_fr
6564,P3288029,SHISEIDO,Wetforce Expert Anti-Age Solaire - Lait Protecteur Plus SPF50+,42,4.0,protectionsolairevisage,sephora_fr
6565,P3288032,SHISEIDO,Synchro Skin - Illuminateur,35,3.0,highlighter,sephora_fr
6566,P3288031,SHISEIDO,Synchro Skin Cushion Compact Bronzer,47,5.0,poudredesoleil,sephora_fr
6567,P3288050,SEPHORA COLLECTION,Colorful - Fard à paupières,6.99,3.923076923,fardpaupires,sephora_fr
6568,P3289002,ORIGINS,"Coffret Masques - Purifie, hydrate & illumine la peau",19.99,4.75,coffretsoinvisage,sephora_fr
6569,P3289001,ORIGINS,GINZING COFFRET FÊTES DES MÈRES - Coffret soin visage,48,4.0,coffretsoinvisage,sephora_fr
6570,P3289004,FRESH,Lotus Youth Preserve Rescue Mask - Masque Pro-Jeunesse SOS Lotus Format Voyage,26,4.5,soinhydratantnourrissant,sephora_fr
6571,P3289009,ROCHAS,Eau de Rochas - Coffret Eau de Toilette,74,4.75,coffretparfumfemme,sephora_fr
6572,P3289008,ROCHAS,Mademoiselle Rochas - Coffret Eau de Parfum,78,5.0,coffretparfumfemme,sephora_fr
6573,P3289010,REPETTO,Repetto - Coffret Eau de Toilette,71,5.0,coffretparfumfemme,sephora_fr
6574,P3289012,PRADA,La Femme Prada L'Eau - Eau de toilette,67,5.0,eaudetoilette,sephora_fr
6575,P3289013,PRADA,L'Homme Prada L'Eau - Eau de toilette,103,2.5,eaudetoilette,sephora_fr
6576,P3276020,DIOR,Dior Hydra Life - Eau fraîche 2 en 1 hydratation rééquilibrante,35,5.0,soinhydratantnourrissant,sephora_fr
6577,P3276021,DIOR,Dior Hydra Life  - Soin yeux hydratation givrée,48,4.230769231,contourdesyeux,sephora_fr
6578,P3276023,DIOR,"Dior Hydra Life - Démaquillant 3 en 1 Nettoie, Apaise, Embellit",35,4.666666667,dmaquillantyeux,sephora_fr
6579,P3276022,DIOR,Dior Hydra Life - Lait Micellaire démaquillant nourrissant,35,4.5,eaumicellaire,sephora_fr
6580,P3276024,DIOR,Dior Bronze - Sublime Bronzer Protective Mist SPF30,39,3.0,autobronzantvisage,sephora_fr
6581,P3276026,DIOR,Dior Bronze - Soin après soleil - Baume de monoï ultra frais,38,3.0,autobronzantvisage,sephora_fr
6582,P3276025,DIOR,Dior Bronze - Huile en brume protectrice hâle sublime SPF15,39,3.666666667,autobronzantvisage,sephora_fr
6583,P3276027,BOSCIA,Luminizing Black Mask - Masque Noir Teint Lumineux,30.99,2.811320755,masquecrme,sephora_fr
6584,P3276028,BOSCIA,Revitalizing Black Hydration Gel - Gel Hydratant Noir Revitalisant,35,4.5,crmedejour,sephora_fr
6585,P3276029,BOSCIA,Charcoal Pore Pudding intensive wash-off treatment,35,4.5,masquecrme,sephora_fr
6586,P3276031,BOSCIA,Charcoal Jelly Ball Cleanser - Boule de Gelée Nettoyante au Charbon,15.99,4.4117647060000005,nettoyantmoussantvisage,sephora_fr
6587,P3276030,BOSCIA,Detoxifying Black Cleanser - Nettoyant Détoxifiant Noir,25.99,4.333333333,nettoyantmoussantvisage,sephora_fr
6588,P3276032,BOSCIA,Base De Teint Matifiante au Charbon Blanc,35,2.4,basedeteintfixateur,sephora_fr
6589,P3276033,BOSCIA,White Charcoal Mattifying Setting Spray - Spray matifiant au Charbon Blanc,34.99,1.6,basedeteintfixateur,sephora_fr
6590,P3276034,BOBBI BROWN,Crushed Lip Color - Rouge à lèvres,28,4.0,rougelvres,sephora_fr
