,author_id,gender,eye_color,hair_color,skin_concerns,skintone,skintype
398,S_clo1954,Female,Bleus,,,,Mixte
399,S_jade28,Female,Marrons,,,,Grasse
400,S_Canouche,Female,Bleus,,,,Seche
401,S_morangodoce,Female,Marrons,,,,Normale
402,S_Disneypluche,Female,,,,,
403,S_cathi8,Female,Bleus,,,,Normale
404,S_AL21800,Female,Bleus,,,,Mixte
405,S_Misswini,Female,Verts,,,,Seche
406,S_Blanche42,Female,Bleus,,,,Mixte
407,S_Aurel55,Female,Bleus,,,,Mixte
408,S_jardiville,Male,Bleus,,,,Grasse
409,S_peybroo,Female,Marrons,,,,Mixte
410,S_ana2310,Female,Marrons,,,,Normale
411,S_bubulle83,Female,Marrons,,,,Mixte
412,S_C423,Female,Marrons,,,,Normale
413,S_QueenMoug,Female,Bleus,,,,Seche
414,S_Elodie11,Female,Marrons,,,,Mixte
415,S_celine15,Female,Bleus,,,,Normale
416,S_moitoi,Female,Verts,,,,Normale
417,S_Jijina,Female,Marrons,,,,Mixte
418,S_CélineL,Female,Marrons,,,,Mixte
419,S_moumoulapin33,Female,Marrons,,,,Mixte
420,S_Clementine87,Female,Verts,,,,Normale
421,S_Malouu,Female,Marrons,,,,Normale
422,S_Alexandramanteslajolie,,,,,,
423,S_PetiteDemoiselle,Female,Marrons,,,,Seche
424,S_Eli7516,Female,Marrons,,,,Mixte
425,S_Lila17,Female,Marrons,,,,Normale
426,S_libellule18,Female,Marrons,,,,Mixte
427,S_Liesis,Female,Verts,,,,Mixte
428,S_chounes,Female,Marrons,,,,Mixte
429,S_Nath08,Female,Verts,,,,Mixte
430,S_Shaynel,Female,Verts,,,,Mixte
431,S_didoun,Female,Marrons,,,,Mixte
432,S_Sourisseau,Female,Verts,,,,Mixte
433,S_oreen59,Female,Noirs,,,,Mixte
434,S_bibouxx,Female,Marrons,,,,Mixte
435,S_Créadorée,Female,,,,,
436,S_sacdefarine,Female,Marrons,,,,Normale
437,S_vicetzag,Female,Marrons,,,,Seche
438,S_soblanc,Female,Noirs,,,,Mixte
439,S_Faariidaa,Female,Marrons,,,,Normale
440,S_lechat88,Female,Marrons,,,,Mixte
441,S_louakhesa,Female,Verts,,,,Deshydratee
442,S_zaza6863,Female,Marrons,,,,Seche
443,S_franceE,Female,Bleus,,,,Mixte
444,S_sousou0631,Female,Bleus,,,,Seche
445,S_géraldine90,Female,Marrons,,,,Mixte
446,S_renaissance,Female,Marrons,,,,Mixte
447,S_candy75,Female,Marrons,,,,Normale
448,S_C460,Female,Marrons,,,,Normale
449,S_DOMINO,Female,Marrons,,,,Normale
450,S_Liounita,Female,Bleus,,,,Seche
451,S_hecorem,Female,Bleus,,,,Deshydratee
452,S_Emite12,Female,Marrons,,,,Mixte
453,S_laure18,Female,Marrons,,,,Deshydratee
454,S_laetiza,Female,,,,,
455,S_SNA440,Female,Marrons,,,,Mixte
456,S_lollipops,Female,Bleus,,,,Mixte
457,S_dragon,Female,Marrons,,,,Seche
458,S_DOMARR,Female,Marrons,,,,Seche
459,S_kallepia,Female,Marrons,,,,Deshydratee
460,S_datina,Female,Verts,,,,Normale
461,S_Tiff42,Female,Marrons,,,,Mixte
462,S_serzou,Female,Marrons,,,,Grasse
463,S_Rosella,Female,Bleus,,,,Mixte
464,S_Coucou27,Female,Verts,,,,Mixte
465,S_zinelk,Female,Marrons,,,,Mixte
466,S_guerline,Female,Marrons,,,,Deshydratee
467,S_Heavenly,Female,Bleus,,,,Mixte
468,S_ladylionness,Female,Bleus,,,,Seche
469,S_bobbie,Female,Marrons,,,,Seche
470,S_carodj,Female,Bleus,,,,Normale
471,S_Mado33,Female,Marrons,,,,Mixte
472,S_Aenzo78,Female,Noirs,,,,Seche
473,S_Lore427,Female,,,,,
474,S_christophe06200,Male,Marrons,,,,Normale
475,S_Christophe65,Male,Marrons,,,,Normale
476,S_Quantico31,Male,Marrons,,,,Normale
