;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
29;abîme;0.0018498828429199825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002642591420918872;0.0;0.0008293770854768916;0.013579413413833048;0.0;0.0;0.0;0.00018546407665172155;0.0005018327909176144;0.0;0.0;0.0;0.0;0.0;0.0;0.0005272170662597483;0.0030886998705934;2.4592482117600248e-05;0.0;0.0
30;abîmer;0.025384173627377313;0.03907392944853;0.0;0.0;0.005329386220216078;0.010394111412083814;0.0;0.028219859661754033;0.0;0.008160647795769383;0.023251004514317917;0.0;0.0;0.06496713155725949;0.002144066796669516;0.0;0.1252003184544445;0.048314580924193114;0.0;0.0046017690339204935;0.0;0.011956749869675404;0.0286788422068935;0.0;0.024354082075711735;0.0;0.0049800579808041805;0.0
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005645157830035198;0.0014239925466918327;0.0;2.431121445059929e-05;0.0;0.0;0.0;0.00010139475634522831;0.0;0.002464172423740811;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0021511729559836176;0.0;0.0;0.0
32;abîmé;0.002098658619475295;0.0;0.0006805544102866851;0.0;0.0;0.0;0.0007544086374436578;0.0;0.0;0.0;0.0;0.0014178494925645938;0.0;0.0025546959082889975;0.0;0.023876769506597475;0.04562096870578435;0.0;0.0;0.001995543431391642;0.0;0.024463222996029068;0.0;0.0;0.0;0.0032532055140219876;0.003943062751567522;0.007813051028114897
33;acaht;0.0;0.0;0.0;0.0005187081387249822;0.0;0.005727115022959623;4.7822516547371415e-05;0.0;2.3145399458374344e-05;0.0;0.0;0.0;8.283497354979854e-05;0.0;0.00016161452941861618;0.0001274826245361245;6.019650921388416e-05;0.0;0.0;0.0;0.0;3.307091375577497e-05;0.0;0.0003597992313702816;0.0;0.00045396267919116303;8.001223214774866e-05;0.0
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008481519044922926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00032975846851767803;0.0;0.0;0.001238030059227075;0.0
35;acceptable;0.0;0.00587524859147601;0.0;0.0;0.0;0.0;0.008752762632383445;0.0;0.0;0.0;0.0;0.0001394968352703715;0.0;0.0;0.0;0.0;0.0;0.0004095219339906768;0.0;0.0;0.0;0.00014325420504337995;0.0;0.0;0.0;0.0002286821093115165;0.0;0.0
36;accessible;0.0;0.013788727710145283;0.0;0.0;0.0;0.0;0.011793942873047405;0.0005599939790580635;0.006502502420057927;0.0;0.0;0.0056348975018024276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00239643587123474;0.0;0.0;0.012994513442961719;0.0;0.016122373392553933;0.0
37;accessoire;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011417790156774809;0.004491310163639455
38;accompagne;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015084430680802447;0.0;0.0
39;accompagner;0.00046227589412422025;0.0;0.00029809766842513923;0.0;0.0020216776402938157;0.01098602892822957;0.0;0.009066595390536135;0.007090003236559334;0.0;0.0;0.009835980588509471;0.0;0.003314013616289152;0.0;0.0;0.0;0.0;0.00877266090352771;0.003924952043464719;0.0;0.0;0.0;0.0;0.0;0.0;0.006701119065835775;0.0
40;accord;0.0;0.0;0.0011466799404825068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002346002495505722;0.0;0.0;0.015598972589153461;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021217647228496474;0.0006210597974432818;0.0
41;accorde;0.0;0.0;0.0;7.271572221123594e-07;0.0;0.0;0.0;1.2824994540518294e-05;0.0;0.0;6.576544043189166e-05;0.0;0.0;5.994419108821079e-05;3.2591448951843665e-05;0.0;4.88522798479148e-07;2.2676664359873563e-05;2.98472737417731e-05;2.7653917880245193e-05;4.552142872522725e-06;0.0;0.0;4.4297701653897344e-05;4.870013240806728e-05;6.914490316581346e-06;1.666823580391042e-05;2.8793916278184132e-05
42;accorder;0.0;0.0;0.0;0.0;0.00040964485769198316;0.0;0.0;0.0;4.98961979146123e-05;0.0;8.157744601168545e-05;0.0;0.0;0.0;0.000792171267974174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6242808389668472e-05;0.0007613209385929078;0.0002105995465954953;0.0;0.0
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007569918747809364;0.0;0.0;0.0;0.0;0.00019328507959640465;0.0001482750111127637;0.0;0.0006008586084290514;0.0;0.0;0.0014654371526078651;0.0;1.8714660435292406e-05;0.0001542135615174928;3.7228601899431694e-05;0.0;0.0012699577573386494;0.0
44;accoucher;0.0;0.0006538351769210822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0217782561980177e-05;0.0;0.0001338699231899198;5.1209443993827e-05;0.0;0.0;0.0;9.060569082834129e-05;0.0023767941863354247;0.00017993217729499108;0.0
45;accro;0.0;0.0;0.0;0.0016116486365467676;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0014002224865231063;0.0;0.0;0.0;0.0;0.0;0.0;0.001373464179592434;0.0009379886810450341;0.004432054506965477;0.0;0.0
