,pos_tagged_coms
4169,"[('""', 'PUNC'), ('très', 'ADV'), ('satisfaite', 'ADJ'), ('""', 'PUNC')]"
4170,"[('""', 'PUNC'), ('très', 'ADV'), ('bon', 'ADJ'), ('produit', 'NC'), (',', 'PUNC'), (""c'"", 'CLS'), ('est', 'V'), ('ma', 'DET'), ('fille', 'NC'), ('qui', 'PROREL'), (""l'"", 'CLO'), ('utilise', 'V'), ('elle', 'CLS'), ('en', 'CLO'), ('est', 'V'), ('très', 'ADV'), ('contente', 'V'), ('""', 'PUNC')]"
4171,"[('""', 'PUNC'), ('bon', 'ADJ'), ('produit', 'NC'), ('""', 'PUNC')]"
4172,"[('sensuel', 'ADJ')]"
4173,"[('bien', 'ADV')]"
4174,"[('Parfait', 'ADJ')]"
4175,"[('Conforme', 'ADJ')]"
4176,"[('""', 'PUNC'), ('il', 'CLS'), ('sent', 'V'), ('bon', 'ADJ'), ('mais', 'CC'), ('ne', 'ADV'), ('tient', 'V'), ('pas', 'ADV'), ('beaucoup', 'ADV'), ('sur', 'P'), ('le', 'DET'), ('corps', 'NC'), ('""', 'PUNC')]"
4177,"[('""', 'PUNC'), ('il', 'CLS'), ('sent', 'V'), ('bon', 'ADJ'), ('mon', 'DET'), ('fils', 'NC'), ('est', 'V'), ('tres', 'ADJ'), ('content', 'ADJ'), ('""', 'PUNC')]"
4178,"[('""', 'PUNC'), ('Très', 'ADV'), ('bien', 'ADV'), (',', 'PUNC'), ('conforme', 'ADJ'), ('à', 'P'), ('mes', 'DET'), ('attentes', 'NC'), (',', 'PUNC'), ('je', 'CLS'), ('recommande', 'V'), ('!', 'PUNC'), ('""', 'PUNC')]"
4179,"[('""', 'PUNC'), ('tres', 'NC'), ('bien', 'ADV'), ('""', 'PUNC')]"
4180,"[('""', 'PUNC'), ('Top', 'NC'), (',', 'PUNC'), ('vraiment', 'ADV'), ('très', 'ADV'), ('bien', 'ADV'), ('!', 'PUNC'), ('""', 'PUNC')]"
4181,"[('""', 'PUNC'), ('Super', 'N'), (',', 'PUNC'), ('mon', 'DET'), ('mari', 'NC'), ('est', 'V'), ('très', 'ADV'), ('content', 'ADJ'), ('!', 'PUNC'), ('""', 'PUNC')]"
4182,"[('""', 'PUNC'), ('très', 'ADV'), ('bien', 'ADV'), ('""', 'PUNC')]"
4183,"[('""', 'PUNC'), ('Très', 'ADV'), ('bien', 'ADV'), ('""', 'PUNC')]"
4184,"[('conforme', 'ADJ')]"
4185,"[('perfecta', 'V')]"
4186,"[('""', 'PUNC'), ('excellent', 'ADJ'), ('parfum', 'NC'), (',', 'PUNC'), ('tenue', 'VPP'), ('longue', 'ADJ'), ('durée', 'N'), ('""', 'PUNC')]"
4187,"[('""', 'PUNC'), ('bien', 'ADV'), (',', 'PUNC'), ('et', 'CC'), ('beau', 'ADJ'), ('flacon', 'NC'), ('""', 'PUNC')]"
4188,"[('parfait', 'ADJ')]"
4189,"[(""j'"", 'CLS'), ('adore', 'V')]"
4190,"[('""', 'PUNC'), ('Très', 'ADV'), ('bon', 'ADJ'), ('produit', 'NC'), ('.', 'PUNC'), ('""', 'PUNC')]"
4191,"[('""', 'PUNC'), ('bonne', 'ADJ'), ('note', 'V'), ('18', 'DET'), ('/', 'PUNC'), ('20', 'DET'), ('""', 'PUNC')]"
4192,"[(""j'"", 'CLS'), ('adore', 'V')]"
4193,"[('Pas', 'ADV'), ('du', 'P'), ('tous', 'ADJ'), ('à', 'P'), ('mon', 'DET'), ('entourage', 'NC')]"
4194,"[('""', 'PUNC'), ('sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('un', 'DET'), ('régal', 'NC'), ('""', 'PUNC')]"
4195,"[('""', 'PUNC'), ('Bonne', 'ADJ'), ('senteur', 'NC'), ('!', 'PUNC'), ('Très', 'ADV'), ('bien', 'ADV'), ('pour', 'P'), ('le', 'DET'), ('prix', 'NC'), ('""', 'PUNC')]"
4196,"[('Super', 'NC')]"
4197,"[('""', 'PUNC'), ('Bon', 'ADJ'), ('produit', 'NC'), ('""', 'PUNC')]"
4198,"[('""', 'PUNC'), (""J'"", 'CLS'), ('aime', 'V'), ('bien', 'ADV'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('""', 'PUNC')]"
4199,"[('""', 'PUNC'), ('un', 'DET'), ('peu', 'ADV'), ('de', 'P'), ('trésor', 'NC'), ('de', 'P'), ('lancôme', 'NC'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('super', 'NC'), ('""', 'PUNC')]"
4200,"[('bien', 'ADV')]"
4201,"[('""', 'PUNC'), ('Tient', 'V'), ('peu', 'ADV'), ('!', 'PUNC'), ('""', 'PUNC')]"
4202,"[('Parfait', 'ADJ')]"
4203,"[('""', 'PUNC'), ('sublimissime', 'ADJ'), ('!', 'PUNC'), ('*', 'PUNC'), ('""', 'PUNC')]"
4204,"[('""', 'PUNC'), ('j', 'NC'), ('aime', 'V'), ('super', 'NC'), ('je', 'CLS'), ('garde', 'V'), ('son', 'DET'), ('parfum', 'NC'), ('assez', 'ADV'), ('longtemps', 'ADV'), ('Danielle', 'NPP'), ('""', 'PUNC')]"
4205,"[('superbe', 'ADJ')]"
4206,"[('""', 'PUNC'), (""J'"", 'CLS'), ('adore', 'V'), ('!', 'PUNC'), ('Bonne', 'ADJ'), ('surprise', 'NC'), ('quant', 'ADV'), ('à', 'P'), ('la', 'DET'), ('présentation', 'NC'), (',', 'PUNC'), ('une', 'DET'), ('belle', 'ADJ'), ('note', 'NC'), ('de', 'P'), ('tête', 'NC'), ('et', 'CC'), ('un', 'DET'), ('parfum', 'NC'), ('qui', 'PROREL'), (""n'"", 'ADV'), ('entête', 'V'), ('pas', 'ADV'), ('.', 'PUNC'), ('Il', 'CLS'), ('trône', 'V'), ('sur', 'P'), ('ma', 'DET'), ('table', 'NC'), ('de', 'P'), ('chevet', 'NC'), ('tellement', 'ADV'), ('il', 'CLS'), ('est', 'V'), ('élégant', 'ADJ'), ('.', 'PUNC'), ('Prix', 'N'), ('imbattable', 'ADJ'), ('""', 'PUNC')]"
4207,"[('Super', 'NC')]"
4208,"[('""', 'PUNC'), ('parfum', 'NC'), ('qui', 'PROREL'), ('sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('.', 'PUNC'), ('""', 'PUNC')]"
4209,"[('""', 'PUNC'), ('tres', 'NC'), ('bien', 'ADV'), ('""', 'PUNC')]"
4210,"[('""', 'PUNC'), (""L'"", 'DET'), ('odeur', 'NC'), ('du', 'P'), ('parfum', 'NC'), ('ne', 'ADV'), ('reste', 'V'), ('pas', 'ADV'), ('longtemps', 'ADV'), ('""', 'PUNC')]"
4211,"[('Bien', 'ADV')]"
4212,"[('bien', 'ADV')]"
4213,"[('Bon', 'ADJ'), ('rapport', 'N'), ('qualité', 'N'), ('/', 'PUNC'), ('prix', 'NC'), (',', 'PUNC'), ('pas', 'ADV'), ('déçu', 'VPP'), ('de', 'P'), ('cet', 'DET'), ('achat', 'NC')]"
4214,"[('10', 'DET'), ('ans', 'NC'), ('que', 'CS'), ('je', 'CLS'), (""l'"", 'CLO'), ('utilise', 'V')]"
4215,"[('Impeccable', 'ADJ')]"
4216,"[('sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('qualité', 'NC'), ('prix', 'NC'), ('parfait', 'ADJ')]"
4217,"[('Super', 'NC')]"
4218,"[('PArfait', 'ADJ')]"
4219,"[('""', 'PUNC'), ('Sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('et', 'CC'), ('pour', 'P'), ('pas', 'ADV'), ('cher', 'ADJ'), ('""', 'PUNC')]"
4220,"[('super', 'NC')]"
4221,"[('""', 'PUNC'), ('Il', 'CLS'), ('sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('et', 'CC'), ('mon', 'DET'), ('homme', 'N'), ('adore', 'ADJ'), ('Il', 'CLS'), ('tient', 'V'), ('assez', 'ADV'), ('bien', 'ADV'), ('et', 'C'), ('long', 'ADJ'), ('temps', 'N'), ('""', 'PUNC')]"
4222,"[('agreable', 'ADJ')]"
4223,"[('""', 'PUNC'), ('très', 'ADV'), ('bien', 'ADV'), ('""', 'PUNC')]"
4224,"[('""', 'PUNC'), ('Bon', 'ADJ'), ('produit', 'NC'), ('""', 'PUNC')]"
4225,"[('""', 'PUNC'), ('Eau', 'NC'), ('de', 'P'), ('parfum', 'NC'), ('pour', 'P'), ('homme', 'NC'), ('vraiment', 'ADV'), ('très', 'ADV'), ('appréciée', 'VPP'), ('de', 'P'), ('mon', 'DET'), ('mari', 'NC'), ('et', 'CC'), ('également', 'ADV'), ('de', 'P'), ('mon', 'DET'), ('fils', 'NC'), ('""', 'PUNC')]"
4226,"[('super', 'NC')]"
4227,"[('idem', 'ADV')]"
4228,"[('""', 'PUNC'), ('Sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('et', 'CC'), ('tient', 'V'), ('bien', 'ADV'), ('sur', 'P'), ('les', 'DET'), ('vêtements', 'NC'), ('.', 'PUNC'), (""N'"", 'ADV'), ('hésitez', 'VIMP'), ('pas', 'ADV'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('""', 'PUNC')]"
4229,"[('""', 'PUNC'), ('tres', 'NC'), ('bien', 'ADV'), ('""', 'PUNC')]"
4230,"[('""', 'PUNC'), ('tres', 'NC'), ('bien', 'ADV'), ('""', 'PUNC')]"
4231,"[('Envoutant', 'VPR')]"
4232,"[('Impec', 'NPP')]"
4233,"[('j', 'NC'), ('adore', 'ADJ')]"
4234,"[('Super', 'NC')]"
4235,"[('Bien', 'ADV')]"
4236,"[('Très', 'ADV'), ('bien', 'ADV')]"
4237,"[('Niquel', 'NPP')]"
4238,"[('""', 'PUNC'), ('Tien', 'ET'), ('peu', 'ADV'), ('""', 'PUNC')]"
4239,"[('""', 'PUNC'), ('bon', 'ADJ'), ('parfum', 'NC'), ('""', 'PUNC')]"
4240,"[('""', 'PUNC'), ('Fragrance', 'N'), ('commune', 'ADJ'), ('Ne', 'ADV'), ('tient', 'V'), ('pas', 'ADV'), ('dans', 'P'), ('le', 'DET'), ('temps', 'NC'), ('""', 'PUNC')]"
4241,"[('""', 'PUNC'), ('sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('""', 'PUNC')]"
4242,"[('""', 'PUNC'), ('ce', 'DET'), ('parfum', 'NC'), ('est', 'V'), ('tout', 'ADV'), ('simplement', 'ADV'), ('une', 'DET'), ('merveille', 'NC'), ('qui', 'PROREL'), (""n'"", 'ADV'), ('a', 'V'), ('rien', 'PRO'), ('a', 'V'), ('envier', 'VINF'), ('a', 'V'), ('une', 'DET'), ('certaine', 'ADJ'), ('grande', 'ADJ'), ('marque', 'NC'), ('dont', 'PROREL'), ('je', 'CLS'), ('ne', 'ADV'), ('citerai', 'V'), ('pas', 'ADV'), ('le', 'DET'), ('nom', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('et', 'CC'), ('pour', 'P'), ('un', 'DET'), ('prix', 'NC'), ('defiant', 'ADJ'), ('toute', 'ADJ'), ('concurrence', 'NC'), (""c'"", 'CLS'), ('est', 'V'), ('génial', 'ADJ'), ('""', 'PUNC')]"
4243,"[('""', 'PUNC'), (""l'"", 'DET'), ('odeur', 'NC'), ('me', 'CLO'), ('convient', 'V'), ('mais', 'CC'), ('il', 'CLS'), ('ne', 'ADV'), ('tient', 'V'), ('pas', 'ADV'), ('""', 'PUNC')]"
4244,"[('Bien', 'ADV')]"
4245,"[('""', 'PUNC'), ('mauvais', 'ADJ'), ('.', 'PUNC'), ('""', 'PUNC')]"
4246,"[('""', 'PUNC'), ('Très', 'ADV'), ('correct', 'ADJ'), ('""', 'PUNC')]"
4247,"[('Parfait', 'ADJ')]"
4248,"[('Bien', 'ADV')]"
4249,"[('parfait', 'ADJ')]"
4250,"[('""', 'PUNC'), ('parfait', 'ADJ'), ('et', 'CC'), ('très', 'ADV'), ('rapide', 'ADJ'), ('""', 'PUNC')]"
4251,"[('""', 'PUNC'), ('Sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('""', 'PUNC')]"
4252,"[('""', 'PUNC'), ('un', 'DET'), ('bon', 'ADJ'), ('parfum', 'NC'), ('discret', 'ADJ'), (',', 'PUNC'), ('féminin', 'ADJ'), ('.', 'PUNC'), ('""', 'PUNC')]"
4253,"[('""', 'PUNC'), ('tres', 'ET'), ('bon', 'ADJ'), ('rapport', 'N'), ('qualité', 'N'), ('/', 'PUNC'), ('prix', 'NC'), ('""', 'PUNC')]"
4254,"[(""j'"", 'CLS'), ('aodre', 'V')]"
4255,"[('""', 'PUNC'), ('ne', 'ADV'), ('tient', 'V'), ('pas', 'ADV'), ('""', 'PUNC')]"
4256,"[('""', 'PUNC'), ('tres', 'NC'), ('bien', 'ADV'), ('""', 'PUNC')]"
4257,"[('""', 'PUNC'), ('Sent', 'V'), ('bon', 'ADJ'), ('mais', 'CC'), ('ne', 'ADV'), ('tient', 'V'), ('pas', 'ADV'), ('toute', 'ADJ'), ('la', 'DET'), ('journée', 'NC'), ('""', 'PUNC')]"
4258,"[('""', 'PUNC'), ('Conforme', 'ADJ'), ('à', 'P'), ('mes', 'DET'), ('attentes', 'NC'), ('""', 'PUNC')]"
4259,"[('Bien', 'ADV')]"
4260,"[('""', 'PUNC'), ('Très', 'ADV'), ('bien', 'ADV'), ('""', 'PUNC')]"
4261,"[('""', 'PUNC'), (""c'"", 'CLS'), ('est', 'V'), ('tout', 'ADV'), ('à', 'P'), ('fait', 'N'), ('ce', 'PRO'), ('que', 'PROREL'), ('je', 'CLS'), ('recherchais', 'V'), ('""', 'PUNC')]"
4262,"[('bien', 'ADV')]"
4263,"[('Exquis', 'VPP')]"
4264,"[('""', 'PUNC'), ('Après', 'P'), ('un', 'DET'), ('départ', 'NC'), ('un', 'DET'), ('trop', 'ADV'), ('alcoolisé', 'VPP'), (',', 'PUNC'), ('ce', 'DET'), ('parfum', 'NC'), ('edt', 'ADJ'), ('délicieux', 'ADJ'), (',', 'PUNC'), (""d'"", 'P'), ('une', 'DET'), ('très', 'ADV'), ('bonne', 'ADJ'), ('tenue', 'NC'), ('""', 'PUNC')]"
4265,"[('""', 'PUNC'), ('""', 'PUNC')]"
4266,"[('""', 'PUNC'), ('ne', 'ADV'), ('tient', 'V'), ('pas', 'ADV'), ('""', 'PUNC')]"
4267,"[('""', 'PUNC'), ('bon', 'ADJ'), ('parfum', 'NC'), ('""', 'PUNC')]"
4268,"[('""', 'PUNC'), ('bon', 'ADJ'), ('produit', 'NC'), ('sens', 'NC'), ('tres', 'ADJ'), ('bon', 'ADJ'), ('et', 'CC'), ('tiens', 'V'), ('bien', 'ADV'), ('""', 'PUNC')]"
4269,"[('""', 'PUNC'), ('Mon', 'ET'), ('préféré', 'VPP'), ('""', 'PUNC')]"
4270,"[('""', 'PUNC'), ('pas', 'ADV'), ('cher', 'ADJ'), ('et', 'CC'), ('de', 'P'), ('bonne', 'ADJ'), ('qualité', 'NC'), ('comparer', 'VINF'), ('au', 'P'), ('grande', 'ADJ'), ('marque', 'NC'), ('.', 'PUNC'), ('""', 'PUNC')]"
4271,"[('""', 'PUNC'), ('Parfum', 'NC'), ('frais', 'ADJ'), (',', 'PUNC'), ('agréable', 'ADJ'), ('.', 'PUNC'), ('""', 'PUNC')]"
4272,"[('""', 'PUNC'), ('Sens', 'ET'), ('vraiment', 'ADV'), ('très', 'ADV'), ('bon', 'ADJ'), ('mais', 'CC'), ('tenue', 'NC'), ('moyenne', 'ADJ'), (',', 'PUNC'), ('en', 'P'), ('remettre', 'VINF'), ('regulierement', 'ADV'), (',', 'PUNC'), ('bon', 'ADJ'), ('rapport', 'N'), ('qualité', 'N'), ('prix', 'N'), ('malgré', 'P'), ('tout', 'PRO'), ('""', 'PUNC')]"
4273,"[('Bien', 'ADV'), ('et', 'C'), ('frais', 'N')]"
4274,"[('Excellent', 'ADJ'), ('produit', 'NC'), (',', 'PUNC'), ('je', 'CLS'), ('recommande', 'V'), ('.', 'PUNC')]"
4275,"[('Rien', 'PRO'), ('à', 'P'), ('dire', 'VINF'), ('.', 'PUNC')]"
4276,"[('Bien', 'ADV')]"
4277,"[('Super', 'NC'), (',', 'PUNC'), ('me', 'CLO'), ('convient', 'V'), ('très', 'ADV'), ('bien', 'ADV'), (',', 'PUNC'), ('bonne', 'ADJ'), ('tenue', 'NC'), ('dans', 'P'), ('le', 'DET'), ('temps', 'NC'), ('.', 'PUNC')]"
4278,"[('Très', 'ADV'), ('bon', 'ADJ'), ('parfum', 'NC')]"
4279,"[('""', 'PUNC'), ('eau', 'NC'), ('de', 'P'), ('toilette', 'NC'), ('légère', 'ADJ'), ('et', 'CC'), ('fraiche', 'ADJ'), ('""', 'PUNC')]"
4280,"[('""', 'PUNC'), ('Bonne', 'ADJ'), ('eau', 'NC'), ('""', 'PUNC')]"
4281,"[('excellent', 'ADJ')]"
4282,"[('""', 'PUNC'), ('Eau', 'N'), ('de', 'P'), ('toilette', 'N'), ('de', 'P'), ('très', 'ADV'), ('bonne', 'ADJ'), ('qualité', 'NC'), ('.', 'PUNC'), ('""', 'PUNC')]"
4283,"[('""', 'PUNC'), ('Super', 'N'), ('parfum', 'NC'), ('frais', 'ADJ'), ('et', 'CC'), ('léger', 'ADJ'), ('vaut', 'V'), ('grandement', 'ADV'), ('un', 'DET'), ('parfum', 'NC'), ('de', 'P'), ('marque', 'NC'), ('moi', 'PRO'), (""j'"", 'CLS'), ('adore', 'V'), ('.', 'PUNC'), ('""', 'PUNC')]"
4284,"[('""', 'PUNC'), ('conforme', 'ADJ'), ('a', 'V'), ('mon', 'DET'), ('attente', 'NC'), ('""', 'PUNC')]"
4285,"[('""', 'PUNC'), ('Très', 'ADV'), ('bien', 'ADV'), (',', 'PUNC'), ('conforme', 'ADJ'), ('à', 'P'), ('mes', 'DET'), ('attentes', 'NC'), (',', 'PUNC'), ('je', 'CLS'), ('recommande', 'V'), ('!', 'PUNC'), ('""', 'PUNC')]"
4286,"[('""', 'PUNC'), ('tres', 'NC'), ('bien', 'ADV'), ('""', 'PUNC')]"
4287,"[('""', 'PUNC'), ('Très', 'ADV'), ('bien', 'ADV'), ('""', 'PUNC')]"
4288,"[('""', 'PUNC'), ('Excellente', 'ADJ'), ('eau', 'NC'), ('de', 'P'), ('toilette', 'NC'), ('que', 'PROREL'), ('je', 'CLS'), ('pratique', 'V'), ('depuis', 'P'), ('de', 'DET'), ('nombreuses', 'ADJ'), ('années', 'NC'), ('avec', 'P'), ('toujours', 'ADV'), ('autan', 'PRO'), ('de', 'P'), ('satisfaction', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('fraîcheur', 'NC'), (',', 'PUNC'), ('tenue', 'VPP'), ('dans', 'P'), ('le', 'DET'), ('temps', 'NC'), (',', 'PUNC'), ('et', 'CC'), ('10x', 'DET'), ('moins', 'ADV'), ('chère', 'ADJ'), ('que', 'CS'), (""l'"", 'DET'), ('originale', 'ADJ'), ('!', 'PUNC'), ('!', 'PUNC'), ('""', 'PUNC')]"
4289,"[('Bien', 'ADV')]"
4290,"[('""', 'PUNC'), ('Très', 'ADV'), ('boisé', 'VPP'), ('et', 'CC'), ('très', 'ADV'), ('plaisant', 'ADJ'), ('.', 'PUNC'), ('""', 'PUNC')]"
4291,"[('""', 'PUNC'), ('je', 'CLS'), ('le', 'CLO'), ('connais', 'V'), ('depuis', 'P'), ('très', 'ADV'), ('longtemps', 'ADV'), ('il', 'CLS'), ('est', 'V'), ('très', 'ADV'), ('bien', 'ADV'), ('""', 'PUNC')]"
4292,"[('""', 'PUNC'), ('Très', 'ADV'), ('bon', 'ADJ'), ('produit', 'NC'), ('.', 'PUNC'), ('Qualité', 'NC'), ('et', 'CC'), ('prix', 'NC'), ('.', 'PUNC'), ('""', 'PUNC')]"
4293,"[('Je', 'CLS'), ('n', 'N'), ('ai', 'V'), ('pas', 'ADV'), ('reçue', 'VPP'), ('ce', 'DET'), ('flacon', 'NC'), (',', 'PUNC'), ('je', 'CLS'), ('l', 'CLO'), ('ai', 'V'), ('eu', 'VPP'), ('sur', 'P'), ('un', 'DET'), ('autre', 'ADJ'), ('format', 'NC'), ('.', 'PUNC'), ('Esce', 'NPP'), ('possible', 'ADJ'), ('de', 'P'), ('faire', 'VINF'), ('un', 'DET'), ('échange', 'NC'), ('.', 'PUNC'), ('Je', 'CLS'), ('cherch', 'V'), ('un', 'DET'), ('parfum', 'NC'), ('qui', 'PROREL'), ('ressemble', 'V'), ('à', 'P'), ('D', 'NC'), ('ior', 'ADJ'), ('j', 'NC'), ('adore', 'ADJ'), ('.', 'PUNC'), ('J', 'N'), ('ai', 'V'), ('déjà', 'ADV'), ('posé', 'VPP'), ('la', 'DET'), ('question', 'NC'), (',', 'PUNC'), ('mais', 'CC'), ('aucune', 'DET'), ('réponse', 'NC'), ('de', 'P'), ('votre', 'DET'), ('part', 'NC'), ('.', 'PUNC'), ('j', 'NC'), ('aimerais', 'V'), ('àvoir', 'VINF'), ('une', 'DET'), ('réponse', 'NC'), ('s', 'ET'), ('il', 'CLS'), ('vous', 'CLO'), ('plait', 'V'), ('.', 'PUNC'), ('la', 'DET'), ('première', 'ADJ'), ('fois', 'N'), ('que', 'C'), ('je', 'CLS'), ('vous', 'CLO'), ('ai', 'V'), ('passé', 'VPP'), ('une', 'DET'), ('commande', 'NC'), (',', 'PUNC'), ('il', 'CLS'), ('y', 'CLO'), ('avais', 'V'), ('une', 'DET'), ('notice', 'NC'), ('a', 'V'), ('quoi', 'PROREL'), ('le', 'DET'), ('parfum', 'NC'), ('ressemble', 'V'), (',', 'PUNC'), ('hélas', 'I'), ('aujourd', 'PRO'), (""'"", 'P'), ('hui', 'N'), (',', 'PUNC'), ('lin', 'ET'), ('y', 'CLO'), ('a', 'V'), ('plus', 'ADV'), ('ce', 'DET'), ('descriptif', 'NC'), ('.', 'PUNC')]"
4294,"[('BIEN', 'ADV')]"
4295,"[('Super', 'NC')]"
4296,"[('""', 'PUNC'), ('sent', 'V'), ('super', 'ADJ'), ('bon', 'ADJ'), ('très', 'ADV'), ('bien', 'ADV'), ('""', 'PUNC')]"
4297,"[('""', 'PUNC'), ('Sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('!', 'PUNC'), ('!', 'PUNC'), ('""', 'PUNC')]"
4298,"[('coco', 'ADV'), ('mademoiselle', 'ADJ'), ('de', 'P'), ('cela', 'PRO'), (""j'"", 'CLS'), ('en', 'CLO'), ('suis', 'V'), ('sure', 'NC')]"
4299,"[('""', 'PUNC'), ('Très', 'ADV'), ('bien', 'ADV'), ('""', 'PUNC')]"
4300,"[('""', 'PUNC'), ('un', 'DET'), ('délice', 'NC'), ('!', 'PUNC'), ('""', 'PUNC')]"
4301,"[('Agréable', 'ADJ')]"
4302,"[('""', 'PUNC'), ('très', 'ADV'), ('bien', 'ADV'), ('""', 'PUNC')]"
4303,"[('parfait', 'ADJ')]"
4304,"[('""', 'PUNC'), ('Bof', 'NPP'), ('!', 'PUNC'), ('!', 'PUNC'), ('""', 'PUNC')]"
4305,"[('Super', 'NC')]"
4306,"[('""', 'PUNC'), ('Léger', 'ADJ'), ('et', 'CC'), ('subtil', 'ADJ'), ('""', 'PUNC')]"
4307,"[('""', 'PUNC'), (""J'"", 'CLS'), ('adore', 'V'), ('""', 'PUNC')]"
4308,"[('parfait', 'ADJ')]"
4309,"[('""', 'PUNC'), ('Sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('""', 'PUNC')]"
4310,"[('""', 'PUNC'), ('mauvaise', 'ADJ'), ('odeur', 'NC'), ('qui', 'PROREL'), ('ne', 'ADV'), ('dure', 'ADJ'), ('pas', 'ADV'), (',', 'PUNC'), ('fort', 'ADV'), ('heureusement', 'ADV'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('""', 'PUNC')]"
4311,"[('""', 'PUNC'), ('Très', 'ADV'), ('bon', 'ADJ'), (',', 'PUNC'), ('je', 'CLS'), ('donne', 'V'), ('la', 'DET'), ('note', 'NC'), ('de', 'P'), ('5', 'DET'), ('""', 'PUNC')]"
4312,"[('""', 'PUNC'), ('rien', 'PRO'), ('a', 'V'), ('signaler', 'VINF'), ('commande', 'NC'), ('traitée', 'VPP'), ('rapidement', 'ADV'), ('""', 'PUNC')]"
4313,"[(""J'"", 'CLS'), ('adore', 'V'), ('Je', 'CLS'), ('ne', 'ADV'), (""m'"", 'CLO'), ('en', 'CLO'), ('lasse', 'V'), ('pas', 'ADV')]"
4314,"[(""C'"", 'CLS'), ('est', 'V'), ('délicieux', 'ADJ'), ('et', 'CC'), ('il', 'CLS'), ('tient', 'V'), ('très', 'ADV'), ('bien', 'ADV'), ('surtout', 'ADV'), ('sur', 'P'), ('les', 'DET'), ('vêtements', 'NC')]"
4315,"[('""', 'PUNC'), ('Il', 'CLS'), ('manque', 'V'), ('quelque', 'DET'), ('chose', 'NC'), ('""', 'PUNC')]"
4316,"[('""', 'PUNC'), (""J'"", 'CLS'), ('utilise', 'V'), ('ce', 'DET'), ('parfum', 'NC'), ('depuis', 'P'), ('2', 'DET'), ('ans', 'NC'), ('.', 'PUNC'), ('Je', 'CLS'), (""l'"", 'CLO'), ('adore', 'V'), ('et', 'CC'), ('le', 'DET'), ('prix', 'NC'), ('sur', 'P'), ('ce', 'DET'), ('site', 'NC'), ('est', 'V'), ('juste', 'ADJ'), ('imbattable', 'ADJ'), ('""', 'PUNC')]"
4317,"[('""', 'PUNC'), ('super', 'NC'), ('parfum', 'NC'), ('""', 'PUNC')]"
4318,"[('""', 'PUNC'), ('Il', 'CLS'), ('sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), ('Je', 'CLS'), ('l', 'V'), ('""', 'PUNC'), ('aime', 'V'), ('beaucoup', 'ADV'), ('""', 'PUNC')]"
