;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
24;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;"assez déçue. Ce n'était pas une plume fine comme je l’espérais mais un feutre. Donc moins précis .. par ailleurs, le noir est trop ""noyé"", feutré, dilué.... pas épais et de ce beau trait ""black"" qu'on aime lorsqu'on surligne et prolonge nos regards.";0.0001490386182009595;0.0;0.0004024392558659031;5.728731083445739e-05;0.00032171576980122643;0.0003060770171762396;0.00034574761006176286;0.0;0.00042497141566328174;0.0007341838818417333;0.005175426604724364;0.0009292068015738888;0.002830695338538365;0.0;0.0061822302217088565;0.0014127065274301322;0.0012830855816574963;0.0;0.0019294417551007199;0.00922510570627673;0.0017188468332160994;0.0;0.0;0.0;0.007598837144390683;0.00293244220061931;0.003006041226926116
26;Mais, je pense que d'autres utilisatrices sauront l’apprécier.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2136039081831317e-06;0.0;0.0;0.0;0.0;0.0;0.002869373714073953;0.0013993741545441525;0.00010501930376196494;0.0;0.0;0.0;0.0001924741454400968;0.0;0.0;1.9467735023082823e-05;0.0005815226403315975;0.00011918576114229821;0.0013084202775424504;0.0
27;Bon produit, redonne douceur aux cheveux mais je le déconseille pour ceux qui ont les cheveux gras, il graisse pas mal le cuir chevelu.;9.596003131539137e-05;0.0;0.0;0.0011939740742335253;0.00013492194915168583;0.0;0.0;0.0;0.00032859657760521123;0.0011669557220490884;0.0;0.0004152138561981211;0.001765512547695822;0.0002664012265613822;0.0017648027795634064;0.0;0.0;0.003279517864554547;0.0;0.0;0.0;0.11699663294586105;0.0;0.0005752191592223096;0.004275195811268135;0.0;0.007341204413449572
28;super contente;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4799989983640165;0.0;0.0;0.0;0.0
29;Je connaissait déjà le produit qui est très bien. Je l'ai recommandé par erreur et renvoyé, j'ai été rapidement remboursé;0.05789160711005202;0.0;0.0;0.0014594009447194216;0.0008047338957036264;0.0008549052517761579;0.0;0.0;0.006225053509098798;0.0;0.0011375394946502692;0.0;0.0005920409500798955;0.0;0.0;0.025076539044278794;0.001534376760020201;0.0;0.0;0.0;0.0;0.00038137466838266716;0.0;0.003235973475437892;0.05928766191232768;0.00018761830404940912;0.0
30;Excellent produit de qualité professionnelle. Très satisfaite de cet achat. Vraiment efficace et adapté à mes bedoins. Parfait. A conseiller.;0.0;0.00016496791561479323;0.0;0.0011081982169954872;0.003262678919865319;0.08952528941360212;0.08030162003116215;0.0002676073237474448;0.0007121981246908279;0.11596818652459896;0.0;0.00012640352144972672;0.00026238957684472257;0.0020729146950698813;0.0;0.0;0.00011116975687428405;0.009964713872344407;0.0;0.0;0.0;0.0007757350302638307;0.016114260729894907;0.0;0.019535611067455345;0.0;0.0
31;Produit avec une bonne senteur qui hydrate et illumine la chevelure instantanément et reste léger et non gras. Je le recommande hautement.;0.05126378677725071;0.0003144452647853591;0.0026926090927976904;0.009597690102769845;0.0;0.0019434556229104278;0.0005008590186551503;0.0005993882360632942;0.0;0.0;0.0;0.0;0.0009926418625190664;0.0;0.00423167014671181;0.0;0.0012901720944279817;9.075780418395825e-05;0.0011506563295195513;0.011305781175286099;0.0;0.11455128327592624;9.688180294119312e-05;0.0014327279645002596;0.0;0.0;0.0
32;Effet anti âge et revitalisant sur une peau mature hydrate et assoupli la peau;0.00020159680920270673;0.0;0.00037388232595100417;0.13467658474586267;0.0;0.0010594506552696892;0.0004979613668109019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004050034685641545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018626246787823454;0.0
33;Pour du l Oréal il est de très mauvaise qualité il colle et bave après moins de 2h vraiment je ne le recommande pas du tout pour tester pas mal de produits il fait parti des plus mauvais;0.04766940748353366;0.00018453774986616127;0.0023294985231081438;0.00017115446167154823;0.0010905359616383468;0.000878757312690952;0.0626735787562038;0.0;0.0012336597555684128;0.00013341970627859395;0.0;0.0;0.0017704351101927337;0.0039057925542091876;0.0034886543374486813;0.0038134277761181657;0.0;0.005890620114280127;0.0;0.002736063289407083;0.002212975484073483;0.001587308836337926;0.0;0.0;0.014890281138257312;0.00023339387802809926;0.009210008954107793
